file,model,p,n,rho,alpha,method,mean,se
power_exp_cl_p250_n120_rho0.5_b20_R300.csv,exp_cl,250,120,0.5,-,BH,0.1555582879209011,0.0017892218106451638
power_exp_cl_p250_n120_rho0.5_b20_R300.csv,exp_cl,250,120,0.5,-,BY,0.02647788405745546,0.0014194756187202997
power_exp_cl_p250_n120_rho0.5_b20_R300.csv,exp_cl,250,120,0.5,-,LCT-B,0.1666666666666666,
power_exp_cl_p250_n120_rho0.5_b20_R300.csv,exp_cl,250,120,0.5,-,LCT-N,0.0017288181361175292,0.0008727166191058359
power_exp_cl_p250_n120_rho0.5_b20_R300.csv,exp_cl,250,120,0.5,0.05,BH,0.08989422929233375,0.0015699746535535193
power_exp_cl_p250_n120_rho0.5_b20_R300.csv,exp_cl,250,120,0.5,0.05,BY,0.01625845540345237,0.0014235948803185455
power_exp_cl_p250_n120_rho0.5_b20_R300.csv,exp_cl,250,120,0.5,0.05,LCT-B,0.125,
power_exp_cl_p250_n120_rho0.5_b20_R300.csv,exp_cl,250,120,0.5,0.05,LCT-N,0.0006297010808776287,0.0002509602216904826
power_exp_cl_p250_n120_rho0.6_b20_R300.csv,exp_cl,250,120,0.6,-,BH,0.14935900280930614,0.0014653447005482617
power_exp_cl_p250_n120_rho0.6_b20_R300.csv,exp_cl,250,120,0.6,-,BY,0.021720024044635577,0.0007200066675122441
power_exp_cl_p250_n120_rho0.6_b20_R300.csv,exp_cl,250,120,0.6,-,LCT-B,0.1176470588235294,
power_exp_cl_p250_n120_rho0.6_b20_R300.csv,exp_cl,250,120,0.6,-,LCT-N,0.0006053867641503053,0.00013402436516838392
power_exp_cl_p250_n120_rho0.6_b20_R300.csv,exp_cl,250,120,0.6,0.05,BH,0.08452506551504628,0.0011750096182141677
power_exp_cl_p250_n120_rho0.6_b20_R300.csv,exp_cl,250,120,0.6,0.05,BY,0.012347184244624089,0.0005614816909380409
power_exp_cl_p250_n120_rho0.6_b20_R300.csv,exp_cl,250,120,0.6,0.05,LCT-B,0.0816326530612244,
power_exp_cl_p250_n120_rho0.6_b20_R300.csv,exp_cl,250,120,0.6,0.05,LCT-N,0.0005085187047307357,0.00015001143939808137
power_exp_cl_p250_n120_rho0.7_b20_R300.csv,exp_cl,250,120,0.7,-,BH,0.14826630549902828,0.0014305894596634424
power_exp_cl_p250_n120_rho0.7_b20_R300.csv,exp_cl,250,120,0.7,-,BY,0.020714527420267234,0.0006390942366454039
power_exp_cl_p250_n120_rho0.7_b20_R300.csv,exp_cl,250,120,0.7,-,LCT-B,0.1214953271028037,
power_exp_cl_p250_n120_rho0.7_b20_R300.csv,exp_cl,250,120,0.7,-,LCT-N,0.0004318284124643083,8.478919773581961e-05
power_exp_cl_p250_n120_rho0.7_b20_R300.csv,exp_cl,250,120,0.7,0.05,BH,0.0834191743021165,0.0011267763956942865
power_exp_cl_p250_n120_rho0.7_b20_R300.csv,exp_cl,250,120,0.7,0.05,BY,0.012009800127366016,0.00045555013245233907
power_exp_cl_p250_n120_rho0.7_b20_R300.csv,exp_cl,250,120,0.7,0.05,LCT-B,0.06,
power_exp_cl_p250_n120_rho0.7_b20_R300.csv,exp_cl,250,120,0.7,0.05,LCT-N,0.00038254669256418264,8.07927493663136e-05
power_exp_cl_p250_n120_rho0.8_b20_R300.csv,exp_cl,250,120,0.8,-,BH,0.14768016819785404,0.0014154732405007302
power_exp_cl_p250_n120_rho0.8_b20_R300.csv,exp_cl,250,120,0.8,-,BY,0.020538803010990373,0.0006332471572503763
power_exp_cl_p250_n120_rho0.8_b20_R300.csv,exp_cl,250,120,0.8,-,LCT-B,0.0686274509803921,
power_exp_cl_p250_n120_rho0.8_b20_R300.csv,exp_cl,250,120,0.8,-,LCT-N,0.0004014880132267813,8.057739571149371e-05
power_exp_cl_p250_n120_rho0.8_b20_R300.csv,exp_cl,250,120,0.8,0.05,BH,0.0835377832272136,0.0011231943395256165
power_exp_cl_p250_n120_rho0.8_b20_R300.csv,exp_cl,250,120,0.8,0.05,BY,0.011758581620460192,0.0004397197881047991
power_exp_cl_p250_n120_rho0.8_b20_R300.csv,exp_cl,250,120,0.8,0.05,LCT-B,0.0404040404040404,
power_exp_cl_p250_n120_rho0.8_b20_R300.csv,exp_cl,250,120,0.8,0.05,LCT-N,0.000366768676587724,7.731264229443984e-05
