file,model,p,n,rho,alpha,method,mean,se
power_exp_cl_p250_n120_rho0.5_b20_R300.csv,exp_cl,250,120,0.5,-,BH,0.744859649122807,0.00922832266461712
power_exp_cl_p250_n120_rho0.5_b20_R300.csv,exp_cl,250,120,0.5,-,BY,0.5064210526315789,0.012107335487647804
power_exp_cl_p250_n120_rho0.5_b20_R300.csv,exp_cl,250,120,0.5,-,LCT-B,0.2105263157894736,
power_exp_cl_p250_n120_rho0.5_b20_R300.csv,exp_cl,250,120,0.5,-,LCT-N,0.3244035087719298,0.012316793387403461
power_exp_cl_p250_n120_rho0.5_b20_R300.csv,exp_cl,250,120,0.5,0.05,BH,0.6748771929824561,0.010489617815075257
power_exp_cl_p250_n120_rho0.5_b20_R300.csv,exp_cl,250,120,0.5,0.05,BY,0.43821052631578944,0.011936721898282926
power_exp_cl_p250_n120_rho0.5_b20_R300.csv,exp_cl,250,120,0.5,0.05,LCT-B,0.1105263157894736,
power_exp_cl_p250_n120_rho0.5_b20_R300.csv,exp_cl,250,120,0.5,0.05,LCT-N,0.27836842105263154,0.011584751682986802
power_exp_cl_p250_n120_rho0.6_b20_R300.csv,exp_cl,250,120,0.6,-,BH,0.948,0.003583103984931054
power_exp_cl_p250_n120_rho0.6_b20_R300.csv,exp_cl,250,120,0.6,-,BY,0.8529824561403508,0.007460606950519951
power_exp_cl_p250_n120_rho0.6_b20_R300.csv,exp_cl,250,120,0.6,-,LCT-B,0.7894736842105263,
power_exp_cl_p250_n120_rho0.6_b20_R300.csv,exp_cl,250,120,0.6,-,LCT-N,0.7791929824561403,0.011013478269412173
power_exp_cl_p250_n120_rho0.6_b20_R300.csv,exp_cl,250,120,0.6,0.05,BH,0.926859649122807,0.0046229736039961
power_exp_cl_p250_n120_rho0.6_b20_R300.csv,exp_cl,250,120,0.6,0.05,BY,0.8175964912280702,0.008631981733100454
power_exp_cl_p250_n120_rho0.6_b20_R300.csv,exp_cl,250,120,0.6,0.05,LCT-B,0.7105263157894737,
power_exp_cl_p250_n120_rho0.6_b20_R300.csv,exp_cl,250,120,0.6,0.05,LCT-N,0.7381228070175438,0.011924938469117824
power_exp_cl_p250_n120_rho0.7_b20_R300.csv,exp_cl,250,120,0.7,-,BH,0.995719298245614,0.0005895653220305582
power_exp_cl_p250_n120_rho0.7_b20_R300.csv,exp_cl,250,120,0.7,-,BY,0.9833508771929824,0.0017002438899360976
power_exp_cl_p250_n120_rho0.7_b20_R300.csv,exp_cl,250,120,0.7,-,LCT-B,0.9894736842105264,
power_exp_cl_p250_n120_rho0.7_b20_R300.csv,exp_cl,250,120,0.7,-,LCT-N,0.9769298245614034,0.002566701095453685
power_exp_cl_p250_n120_rho0.7_b20_R300.csv,exp_cl,250,120,0.7,0.05,BH,0.993263157894737,0.0008122684660630109
power_exp_cl_p250_n120_rho0.7_b20_R300.csv,exp_cl,250,120,0.7,0.05,BY,0.9764035087719298,0.002211073649605769
power_exp_cl_p250_n120_rho0.7_b20_R300.csv,exp_cl,250,120,0.7,0.05,LCT-B,0.9894736842105264,
power_exp_cl_p250_n120_rho0.7_b20_R300.csv,exp_cl,250,120,0.7,0.05,LCT-N,0.9684035087719299,0.0031556934898077
power_exp_cl_p250_n120_rho0.8_b20_R300.csv,exp_cl,250,120,0.8,-,BH,0.9999298245614036,4.285356681011676e-05
power_exp_cl_p250_n120_rho0.8_b20_R300.csv,exp_cl,250,120,0.8,-,BY,0.9995263157894737,0.00013217315806649178
power_exp_cl_p250_n120_rho0.8_b20_R300.csv,exp_cl,250,120,0.8,-,LCT-B,1.0,
