model,x_model,p,n1,n2,rho,block,seed,k_rate,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
exp,exp,250,80,80,0.7,20,0,1.0,150,21,129,81,3,78,0.14,0.6789473684210526,0.037037037037037035,0.4105263157894737,171,33,138,93,6,87,0.19298245614035087,0.7263157894736842,0.06451612903225806,0.45789473684210524,3.838972327037031,80,0,80,0.0,0.42105263157894735,3.64345326616273,87,1,86,0.011494252873563218,0.45263157894736844,2.678841321977928,137,8,129,0.058394160583941604,0.6789473684210526,2.488480303326257,155,15,140,0.0967741935483871,0.7368421052631579,1.430988
exp,exp,250,80,80,0.7,20,1,1.0,126,17,109,63,0,63,0.1349206349206349,0.5736842105263158,0.0,0.33157894736842103,167,34,133,78,1,77,0.20359281437125748,0.7,0.01282051282051282,0.4052631578947368,3.8916213347749578,68,0,68,0.0,0.35789473684210527,3.6535865615446412,82,1,81,0.012195121951219513,0.4263157894736842,2.745496274642406,114,1,113,0.008771929824561403,0.5947368421052631,2.5618110363937596,125,6,119,0.048,0.6263157894736842,1.534168
exp,exp,250,80,80,0.7,20,2,1.0,190,20,170,150,3,147,0.10526315789473684,0.8947368421052632,0.02,0.7736842105263158,205,33,172,159,7,152,0.16097560975609757,0.9052631578947369,0.0440251572327044,0.8,3.6754901554067745,155,1,154,0.0064516129032258064,0.8105263157894737,3.5300144518556342,162,2,160,0.012345679012345678,0.8421052631578947,2.62141907361797,181,4,177,0.022099447513812154,0.9315789473684211,2.4630330629714905,191,12,179,0.06282722513089005,0.9421052631578948,1.256197
exp,exp,250,80,80,0.7,20,3,1.0,198,17,181,165,2,163,0.08585858585858586,0.9526315789473684,0.012121212121212121,0.8578947368421053,217,33,184,169,3,166,0.15207373271889402,0.968421052631579,0.01775147928994083,0.8736842105263158,3.6478951767856764,165,0,165,0.0,0.868421052631579,3.504774877151875,172,0,172,0.0,0.9052631578947369,2.762580584691828,184,2,182,0.010869565217391304,0.9578947368421052,2.507260839797201,192,8,184,0.041666666666666664,0.968421052631579,1.137717
exp,exp,250,80,80,0.7,20,4,1.0,120,12,108,61,1,60,0.1,0.5684210526315789,0.01639344262295082,0.3157894736842105,143,23,120,77,4,73,0.16083916083916083,0.631578947368421,0.05194805194805195,0.38421052631578945,3.9335261196196125,60,1,59,0.016666666666666666,0.3105263157894737,3.714033671528515,65,2,63,0.03076923076923077,0.33157894736842103,2.7409439149573536,112,4,108,0.03571428571428571,0.5684210526315789,2.5694137785966604,124,7,117,0.056451612903225805,0.6157894736842106,1.228324
exp,exp,250,80,80,0.7,20,5,1.0,189,12,177,164,1,163,0.06349206349206349,0.9315789473684211,0.006097560975609756,0.8578947368421053,211,29,182,174,3,171,0.13744075829383887,0.9578947368421052,0.017241379310344827,0.9,3.67840016287548,172,0,172,0.0,0.9052631578947369,3.5082667897293134,174,0,174,0.0,0.9157894736842105,2.7804614247575405,188,1,187,0.005319148936170213,0.9842105263157894,2.5856358950783043,191,4,187,0.020942408376963352,0.9842105263157894,1.258551
exp,exp,250,80,80,0.7,20,6,1.0,147,14,133,97,1,96,0.09523809523809523,0.7,0.010309278350515464,0.5052631578947369,178,31,147,109,1,108,0.17415730337078653,0.7736842105263158,0.009174311926605505,0.5684210526315789,3.777423537309451,102,0,102,0.0,0.5368421052631579,3.592030494599709,109,0,109,0.0,0.5736842105263158,2.703525591610081,143,1,142,0.006993006993006993,0.7473684210526316,2.505824211670839,156,7,149,0.04487179487179487,0.7842105263157895,1.265797
exp,exp,250,80,80,0.7,20,7,1.0,207,26,181,165,3,162,0.12560386473429952,0.9526315789473684,0.01818181818181818,0.8526315789473684,228,44,184,172,4,168,0.19298245614035087,0.968421052631579,0.023255813953488372,0.8842105263157894,3.64720145655627,169,0,169,0.0,0.8894736842105263,3.5295543016401028,173,1,172,0.005780346820809248,0.9052631578947369,2.7354855277471906,184,3,181,0.016304347826086956,0.9526315789473684,2.509881701966414,191,7,184,0.03664921465968586,0.968421052631579,1.145225
exp,exp,250,80,80,0.7,20,8,1.0,138,13,125,77,0,77,0.09420289855072464,0.6578947368421053,0.0,0.4052631578947368,171,34,137,90,0,90,0.19883040935672514,0.7210526315789474,0.0,0.47368421052631576,3.834025180927013,86,0,86,0.0,0.45263157894736844,3.6166297414509483,98,0,98,0.0,0.5157894736842106,2.7973477787318597,116,0,116,0.0,0.6105263157894737,2.5197880391130303,133,3,130,0.022556390977443608,0.6842105263157895,1.232385
exp,exp,250,80,80,0.7,20,9,1.0,184,10,174,150,1,149,0.05434782608695652,0.9157894736842105,0.006666666666666667,0.7842105263157895,200,19,181,158,1,157,0.095,0.9526315789473684,0.006329113924050633,0.8263157894736842,3.6783652500401116,156,0,156,0.0,0.8210526315789474,3.5063632067314487,162,0,162,0.0,0.8526315789473684,2.698364258648843,181,1,180,0.0055248618784530384,0.9473684210526315,2.4797407502217226,188,5,183,0.026595744680851064,0.9631578947368421,1.327504
exp,exp,250,80,80,0.7,20,10,1.0,191,17,174,147,2,145,0.08900523560209424,0.9157894736842105,0.013605442176870748,0.7631578947368421,223,46,177,159,5,154,0.2062780269058296,0.9315789473684211,0.031446540880503145,0.8105263157894737,3.679385820377112,157,0,157,0.0,0.8263157894736842,3.4951653773412805,161,0,161,0.0,0.8473684210526315,2.6321317998987355,182,6,176,0.03296703296703297,0.9263157894736842,2.4868462932933735,189,10,179,0.05291005291005291,0.9421052631578948,1.220228
exp,exp,250,80,80,0.7,20,11,1.0,202,20,182,169,2,167,0.09900990099009901,0.9578947368421052,0.011834319526627219,0.8789473684210526,223,40,183,182,5,177,0.17937219730941703,0.9631578947368421,0.027472527472527472,0.9315789473684211,3.7273544118785935,179,1,178,0.00558659217877095,0.9368421052631579,3.565415102064246,181,1,180,0.0055248618784530384,0.9473684210526315,2.633792366668814,190,4,186,0.021052631578947368,0.9789473684210527,2.4663856718674206,195,8,187,0.041025641025641026,0.9842105263157894,1.180082
exp,exp,250,80,80,0.7,20,12,1.0,176,13,163,135,1,134,0.07386363636363637,0.8578947368421053,0.007407407407407408,0.7052631578947368,200,29,171,144,1,143,0.145,0.9,0.006944444444444444,0.7526315789473684,3.6997376563669806,141,0,141,0.0,0.7421052631578947,3.5965719433744208,146,0,146,0.0,0.7684210526315789,2.6804410884087533,174,1,173,0.005747126436781609,0.9105263157894737,2.4880990110138796,180,5,175,0.027777777777777776,0.9210526315789473,1.243994
exp,exp,250,80,80,0.7,20,13,1.0,186,14,172,148,2,146,0.07526881720430108,0.9052631578947369,0.013513513513513514,0.7684210526315789,208,32,176,157,3,154,0.15384615384615385,0.9263157894736842,0.01910828025477707,0.8105263157894737,3.676351310204885,151,0,151,0.0,0.7947368421052632,3.5464417671427855,159,0,159,0.0,0.8368421052631579,2.618648861081659,180,3,177,0.016666666666666666,0.9315789473684211,2.423583994550497,188,8,180,0.0425531914893617,0.9473684210526315,1.256022
exp,exp,250,80,80,0.7,20,14,1.0,200,18,182,170,3,167,0.09,0.9578947368421052,0.01764705882352941,0.8789473684210526,221,36,185,176,4,172,0.16289592760180996,0.9736842105263158,0.022727272727272728,0.9052631578947369,3.7581713036667184,174,1,173,0.005747126436781609,0.9105263157894737,3.48369748510658,177,1,176,0.005649717514124294,0.9263157894736842,2.748702974362293,184,2,182,0.010869565217391304,0.9578947368421052,2.5139808586577495,190,7,183,0.03684210526315789,0.9631578947368421,1.178315
