model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,t_lctb_0.05_B200,R_lctb_0.05_B200,fdp_lctb_0.05_B200,any_reject_lctb_0.05_B200,R_over_M_lctb_0.05_B200,t_lctb_0.10_B200,R_lctb_0.10_B200,fdp_lctb_0.10_B200,any_reject_lctb_0.10_B200,R_over_M_lctb_0.10_B200,lctb_B200_wall_time_s,wall_time_s
gaussian,gaussian,250,80,80,0,5.036902467315898,1,1.0,1,3.21285140562249e-05,5.036902467315898,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8975950610001746,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3896862139990844,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.74069763999978,5.079918008999812
gaussian,gaussian,250,80,80,1,4.983116040222883,1,1.0,1,3.21285140562249e-05,4.983116040222883,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8747384199996304,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5351084250014537,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9281946009996318,4.369213879999734
gaussian,gaussian,250,80,80,2,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9909081019995938,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3259088680006244,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1760297430009814,4.524062858999969
gaussian,gaussian,250,80,80,3,5.2445378011394626,1,1.0,1,3.21285140562249e-05,4.364166049923375,4,1.0,1,0.0001285140562248996,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8875878029994055,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4025624099995184,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0020110349996685,4.325094593999893
gaussian,gaussian,250,80,80,4,4.808544158788624,1,1.0,1,3.21285140562249e-05,4.808544158788624,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9088413619992934,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3186351669992291,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.150334219000797,4.408877645999382
gaussian,gaussian,250,80,80,5,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0036716279992106,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2989262620012596,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9787181560004683,4.313290875999883
gaussian,gaussian,250,80,80,6,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.030233991001296,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.293971588000204,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9057125499984977,4.261063824998928
gaussian,gaussian,250,80,80,7,5.668994598430799,1,1.0,1,3.21285140562249e-05,5.668994598430799,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9313612379992264,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.6439660319992981,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9139841050000541,4.520415230999788
gaussian,gaussian,250,80,80,8,4.981865175539635,1,1.0,1,3.21285140562249e-05,4.981865175539635,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9003104410003289,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.395586713000739,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.482403132999025,4.809268418999636
gaussian,gaussian,250,80,80,9,4.9643030944822035,1,1.0,1,3.21285140562249e-05,4.9643030944822035,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9120016289998603,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.408127771999716,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.325763453000036,4.676841419999619
gaussian,gaussian,250,80,80,10,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8972357269994973,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.355729450000581,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0363716279989603,4.320282656999552
gaussian,gaussian,250,80,80,11,inf,0,0.0,0,0.0,4.427392308512735,3,1.0,1,9.63855421686747e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9886019699988537,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3160331279996171,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0367583250008465,4.382462010000381
gaussian,gaussian,250,80,80,12,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0167906299993774,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4460508360007225,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2196854750000057,4.750338626001394
gaussian,gaussian,250,80,80,13,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8826655499997287,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3502839709999535,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0946679919998132,4.423129423999853
gaussian,gaussian,250,80,80,14,4.918060457761163,2,1.0,1,6.42570281124498e-05,4.918060457761163,2,1.0,1,6.42570281124498e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9476939319993107,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4634480080003414,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.12851946200135,4.570647217999067
gaussian,gaussian,250,80,80,15,inf,0,0.0,0,0.0,4.673205997623924,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8947224769999593,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4174625119994744,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9538249639990681,4.2995546069996635
gaussian,gaussian,250,80,80,16,4.901945283696459,1,1.0,1,3.21285140562249e-05,4.615775026415241,2,1.0,1,6.42570281124498e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0649439079988952,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3679319839993695,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.104782524998882,4.569301567000366
gaussian,gaussian,250,80,80,17,6.003540136193865,1,1.0,1,3.21285140562249e-05,6.003540136193865,1,1.0,1,3.21285140562249e-05,6.003540136193865,1,1.0,1,3.21285140562249e-05,6.003540136193865,1,1.0,1,3.21285140562249e-05,0.8932701710000401,6.003540136193865,1,1.0,1,3.21285140562249e-05,6.003540136193865,1,1.0,1,3.21285140562249e-05,1.4468258309989324,6.003540136193865,1,1.0,1,3.21285140562249e-05,6.003540136193865,1,1.0,1,3.21285140562249e-05,2.0019490499998938,4.3729780789999495
gaussian,gaussian,250,80,80,18,4.91096312595309,1,1.0,1,3.21285140562249e-05,4.91096312595309,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8988919599996734,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3337905040007172,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2613639760002116,4.525202222999724
gaussian,gaussian,250,80,80,19,4.732920267831271,2,1.0,1,6.42570281124498e-05,4.732920267831271,2,1.0,1,6.42570281124498e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9044771189983294,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2983317210000678,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.107236941999872,4.341235387999404
gaussian,gaussian,250,80,80,20,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8856784750005318,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3264940660010325,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.999418143001094,4.291145902998323
gaussian,gaussian,250,80,80,21,4.602813827602559,3,1.0,1,9.63855421686747e-05,4.602813827602559,3,1.0,1,9.63855421686747e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9935224470009416,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5578629650008224,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.008317572001033,4.590678589000163
gaussian,gaussian,250,80,80,22,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9216204879994621,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4296085240002867,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.991633986999659,4.376265658000193
gaussian,gaussian,250,80,80,23,4.951381427580022,1,1.0,1,3.21285140562249e-05,4.951381427580022,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9398993020004127,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.381201731001056,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2263480059991707,4.57964127500054
gaussian,gaussian,250,80,80,24,4.689239648424206,2,1.0,1,6.42570281124498e-05,4.689239648424206,2,1.0,1,6.42570281124498e-05,inf,0,0.0,0,0.0,5.308387825845552,1,1.0,1,3.21285140562249e-05,0.9563375400011864,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3001040540002577,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0101763120001124,4.297794129000977
gaussian,gaussian,250,80,80,25,4.855549557826686,1,1.0,1,3.21285140562249e-05,4.855549557826686,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9886811409996881,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3518993449997652,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1252347600002395,4.49676793099934
gaussian,gaussian,250,80,80,26,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9269018410013814,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.6128158070005156,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9623933100010618,4.5329774000001635
gaussian,gaussian,250,80,80,27,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9219768639995891,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3176875709996239,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0795471250003175,4.366946060001283
gaussian,gaussian,250,80,80,28,inf,0,0.0,0,0.0,4.664240035530157,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9673134260010556,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4550642719987081,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0634095129989873,4.517465967999669
gaussian,gaussian,250,80,80,29,4.990020240575272,1,1.0,1,3.21285140562249e-05,4.990020240575272,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9094985370011273,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.381705588000841,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9539723420002701,4.276433958999405
