model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,t_lctb_0.05_B200,R_lctb_0.05_B200,fdp_lctb_0.05_B200,any_reject_lctb_0.05_B200,R_over_M_lctb_0.05_B200,t_lctb_0.10_B200,R_lctb_0.10_B200,fdp_lctb_0.10_B200,any_reject_lctb_0.10_B200,R_over_M_lctb_0.10_B200,lctb_B200_wall_time_s,wall_time_s
laplace,laplace,250,80,80,0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,3.8867443301407913,1,1.0,1,3.21285140562249e-05,0.9049453589996119,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3600876319997042,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.807852505999108,5.093503411000711
laplace,laplace,250,80,80,1,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9108769150006992,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.324485787999947,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,3.8209219709988247,7.072733700999379
laplace,laplace,250,80,80,2,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.8843306180006039,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,3.096305809000114,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,9.4413044920002,14.458395829000438
laplace,laplace,250,80,80,3,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.6855305089993635,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,3.864440850999017,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,7.263224053998783,13.84921438099991
laplace,laplace,250,80,80,4,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,8.805835486999058,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,4.2184991289996105,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,5.614491570999235,18.78460610199909
laplace,laplace,250,80,80,5,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9288190530005522,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3484832949998236,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1249806659998285,4.4194955229995685
laplace,laplace,250,80,80,6,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,3.719691065744044,1,1.0,1,3.21285140562249e-05,0.9822403809994285,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.314079320000019,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.3314344520003942,4.64995912500126
laplace,laplace,250,80,80,7,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9599197239986097,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3497254199992312,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1063448489985603,4.433887787999993
laplace,laplace,250,80,80,8,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9761582970004383,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.40446781799983,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.246310432001337,4.644610843999544
laplace,laplace,250,80,80,9,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3077013859983708,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.527932402999795,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,3.6086015599994425,7.474933509000039
laplace,laplace,250,80,80,10,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9827222349995282,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,3.1240859080007795,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,8.985907316000521,14.11546038799861
laplace,laplace,250,80,80,11,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.679904323998926,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,3.845307581999805,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,13.121842859000026,19.849903955000627
laplace,laplace,250,80,80,12,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,3.606987791999927,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,3.5866078790004394,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,4.277319281000018,11.545580462001453
laplace,laplace,250,80,80,13,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.1053131640001084,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4535364839994145,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.071091906998845,4.6470136620009725
laplace,laplace,250,80,80,14,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8819938679989718,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3433763080010976,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.225642407000123,4.468852599999082
laplace,laplace,250,80,80,15,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8695295160014211,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4623635480002122,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0734853880003357,4.423303387000487
laplace,laplace,250,80,80,16,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9183660660000896,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3043173429996386,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9856185389999155,4.235099477999029
laplace,laplace,250,80,80,17,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.923885235999478,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5167578290001984,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.179702248000467,4.638229682001111
laplace,laplace,250,80,80,18,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8584831529988151,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3904913460009993,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1117654760000732,4.378483331000098
laplace,laplace,250,80,80,19,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8504439430016646,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2883817549991363,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.229424873001335,4.386122438001621
laplace,laplace,250,80,80,20,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.021375143998739,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2547440700000152,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0599191960009193,4.3538847180007
laplace,laplace,250,80,80,21,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0329567819990189,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.262424202001057,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0075607060007314,4.3208358170013526
laplace,laplace,250,80,80,22,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9896358060013881,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5338353650004137,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9785973879988887,4.5199070740000025
laplace,laplace,250,80,80,23,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,3.862650660319703,1,1.0,1,3.21285140562249e-05,0.9362667360001069,inf,0,0.0,0,0.0,3.862650660319703,1,1.0,1,3.21285140562249e-05,1.3588958809996257,inf,0,0.0,0,0.0,3.862650660319703,1,1.0,1,3.21285140562249e-05,2.148130929999752,4.461339147999752
