model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,t_lctb_0.05_B200,R_lctb_0.05_B200,fdp_lctb_0.05_B200,any_reject_lctb_0.05_B200,R_over_M_lctb_0.05_B200,t_lctb_0.10_B200,R_lctb_0.10_B200,fdp_lctb_0.10_B200,any_reject_lctb_0.10_B200,R_over_M_lctb_0.10_B200,lctb_B200_wall_time_s,wall_time_s
nmix,nmix,250,80,80,0,4.647373428908929,5,1.0,1,0.0001606425702811245,4.2746786013698035,7,1.0,1,0.0002248995983935743,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0192706920006458,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4047559780010488,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9220137470001646,4.362817423001616
nmix,nmix,250,80,80,1,4.79331361007594,4,1.0,1,0.0001285140562248996,4.426822880107811,5,1.0,1,0.0001606425702811245,6.47465456548702,1,1.0,1,3.21285140562249e-05,6.47465456548702,1,1.0,1,3.21285140562249e-05,1.0301344489998883,6.47465456548702,1,1.0,1,3.21285140562249e-05,6.47465456548702,1,1.0,1,3.21285140562249e-05,1.6503272570007539,inf,0,0.0,0,0.0,6.47465456548702,1,1.0,1,3.21285140562249e-05,1.9965419330001168,4.691822234999563
nmix,nmix,250,80,80,2,5.082638320937371,4,1.0,1,0.0001285140562248996,5.082638320937371,4,1.0,1,0.0001285140562248996,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0181936319986562,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.385131728999113,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.263147339999705,4.685623630000919
nmix,nmix,250,80,80,3,4.5609714742264345,7,1.0,1,0.0002248995983935743,4.142615571974292,11,1.0,1,0.0003534136546184739,6.40520124024257,3,1.0,1,9.63855421686747e-05,6.40520124024257,3,1.0,1,9.63855421686747e-05,0.9753075079988776,6.40520124024257,3,1.0,1,9.63855421686747e-05,6.40520124024257,3,1.0,1,9.63855421686747e-05,1.4856747409994568,6.40520124024257,3,1.0,1,9.63855421686747e-05,6.40520124024257,3,1.0,1,9.63855421686747e-05,2.290828238999893,4.7673342090001825
nmix,nmix,250,80,80,4,4.611159437817592,4,1.0,1,0.0001285140562248996,4.611159437817592,4,1.0,1,0.0001285140562248996,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9471011950008688,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4629489180006203,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.963208539000334,4.389790711000387
nmix,nmix,250,80,80,5,4.751277941802881,2,1.0,1,6.42570281124498e-05,4.751277941802881,2,1.0,1,6.42570281124498e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0328337860009924,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.455027665999296,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9869723189985962,4.539220476999617
nmix,nmix,250,80,80,6,4.4961086269564055,7,1.0,1,0.0002248995983935743,4.2117033068150675,8,1.0,1,0.0002570281124497992,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.974604229999386,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.535660857000039,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9725013730003411,4.499147630000152
nmix,nmix,250,80,80,7,4.468472046710711,7,1.0,1,0.0002248995983935743,4.246554109092796,8,1.0,1,0.0002570281124497992,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9153390989995387,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4467410360011854,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2322359120007604,4.610587209001096
nmix,nmix,250,80,80,8,4.722088818247816,3,1.0,1,9.63855421686747e-05,4.3955548641080515,4,1.0,1,0.0001285140562248996,inf,0,0.0,0,0.0,6.345520074213006,1,1.0,1,3.21285140562249e-05,1.0367170829995302,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4502921329985838,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0570807860003697,4.560327353001412
nmix,nmix,250,80,80,9,4.510804454750546,5,1.0,1,0.0001606425702811245,4.239253786443378,7,1.0,1,0.0002248995983935743,inf,0,0.0,0,0.0,6.6577644860689364,1,1.0,1,3.21285140562249e-05,0.9257848559991544,inf,0,0.0,0,0.0,6.6577644860689364,1,1.0,1,3.21285140562249e-05,1.4327535950014862,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.873058293998838,4.247758032999627
nmix,nmix,250,80,80,10,5.7331025341944075,1,1.0,1,3.21285140562249e-05,5.7331025341944075,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.058977054000934,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.6030712830015545,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9954378149996046,4.673672688000806
nmix,nmix,250,80,80,11,4.305402338010489,13,1.0,1,0.0004176706827309237,4.10308302062321,17,1.0,1,0.0005461847389558233,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.927527308000208,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.6263589520003734,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.920780962000208,4.490763922000042
nmix,nmix,250,80,80,12,5.084679499241112,2,1.0,1,6.42570281124498e-05,5.084679499241112,2,1.0,1,6.42570281124498e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9034932249996928,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4733441449989186,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2238203449996945,4.616735356999925
nmix,nmix,250,80,80,13,4.614867894426421,4,1.0,1,0.0001285140562248996,4.614867894426421,4,1.0,1,0.0001285140562248996,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.918313575000866,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3924483440005133,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.032309621001332,4.359232296999835
nmix,nmix,250,80,80,14,4.445780095110219,8,1.0,1,0.0002570281124497992,4.445780095110219,8,1.0,1,0.0002570281124497992,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0336754880008812,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4267497929995443,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.966695510000136,4.443209975999707
nmix,nmix,250,80,80,15,4.2859006289522075,12,1.0,1,0.0003855421686746988,4.05611867050999,17,1.0,1,0.0005461847389558233,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.1574061999999685,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4701734600002965,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9365457040003093,4.583277546998943
nmix,nmix,250,80,80,16,4.941038365095374,2,1.0,1,6.42570281124498e-05,4.941038365095374,2,1.0,1,6.42570281124498e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9126904350014229,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.531770333998793,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.6163002919984137,5.076928972001042
nmix,nmix,250,80,80,17,4.696699985066478,5,1.0,1,0.0001606425702811245,4.696699985066478,5,1.0,1,0.0001606425702811245,8.020580211887305,1,1.0,1,3.21285140562249e-05,8.020580211887305,1,1.0,1,3.21285140562249e-05,0.994340639001166,8.020580211887305,1,1.0,1,3.21285140562249e-05,8.020580211887305,1,1.0,1,3.21285140562249e-05,1.5824836580013653,8.020580211887305,1,1.0,1,3.21285140562249e-05,8.020580211887305,1,1.0,1,3.21285140562249e-05,1.9844268150009157,4.577398174000336
nmix,nmix,250,80,80,18,inf,0,0.0,0,0.0,4.570410028721134,2,1.0,1,6.42570281124498e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0370280259994615,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4459621810001408,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0119373069992434,4.5112009220010805
nmix,nmix,250,80,80,19,4.685818040470732,3,1.0,1,9.63855421686747e-05,4.685818040470732,3,1.0,1,9.63855421686747e-05,inf,0,0.0,0,0.0,6.454889736620541,1,1.0,1,3.21285140562249e-05,0.9740750839991961,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5564631819997885,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.8667791150000994,4.413845322998895
nmix,nmix,250,80,80,20,4.930338781006541,4,1.0,1,0.0001285140562248996,4.284260842755402,8,1.0,1,0.0002570281124497992,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0566281500014156,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4759989379999752,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.088067796999894,4.636899486000402
nmix,nmix,250,80,80,21,4.492206029430508,5,1.0,1,0.0001606425702811245,4.359881604626027,6,1.0,1,0.0001927710843373494,inf,0,0.0,0,0.0,6.195142332463888,2,1.0,1,6.42570281124498e-05,0.9389990429990576,inf,0,0.0,0,0.0,6.842312862374134,1,1.0,1,3.21285140562249e-05,1.6179076490006992,inf,0,0.0,0,0.0,6.842312862374134,1,1.0,1,3.21285140562249e-05,2.059746573000666,4.633017140999073
nmix,nmix,250,80,80,22,4.408807451082909,8,1.0,1,0.0002570281124497992,4.2054955704792825,11,1.0,1,0.0003534136546184739,6.801262267711391,1,1.0,1,3.21285140562249e-05,6.801262267711391,1,1.0,1,3.21285140562249e-05,0.9462595259992668,6.801262267711391,1,1.0,1,3.21285140562249e-05,6.801262267711391,1,1.0,1,3.21285140562249e-05,1.3655530949999957,6.801262267711391,1,1.0,1,3.21285140562249e-05,6.801262267711391,1,1.0,1,3.21285140562249e-05,2.1424521199987794,4.470480601999952
nmix,nmix,250,80,80,23,4.573370878958146,5,1.0,1,0.0001606425702811245,4.317108725050168,6,1.0,1,0.0001927710843373494,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9116657049999048,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.416157136000038,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.3594526179986133,4.703317364999748
nmix,nmix,250,80,80,24,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0487619699997595,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2372894210002414,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0467268499996862,4.361971997999717
nmix,nmix,250,80,80,25,5.042286216494257,4,1.0,1,0.0001285140562248996,5.042286216494257,4,1.0,1,0.0001285140562248996,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0861817629993311,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2079041140004847,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0034360619993095,4.314036625999506
nmix,nmix,250,80,80,26,4.669800376568957,4,1.0,1,0.0001285140562248996,4.24777710304701,7,1.0,1,0.0002248995983935743,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0361968599991087,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5250665240000671,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.8950516000004427,4.472646608001014
