model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,t_lctb_0.05_B200,R_lctb_0.05_B200,fdp_lctb_0.05_B200,any_reject_lctb_0.05_B200,R_over_M_lctb_0.05_B200,t_lctb_0.10_B200,R_lctb_0.10_B200,fdp_lctb_0.10_B200,any_reject_lctb_0.10_B200,R_over_M_lctb_0.10_B200,lctb_B200_wall_time_s,wall_time_s
t,t,250,80,80,0,4.289756820267871,12,1.0,1,0.0003855421686746988,4.155829695666399,15,1.0,1,0.00048192771084337347,7.525959823397934,1,1.0,1,3.21285140562249e-05,7.525959823397934,1,1.0,1,3.21285140562249e-05,1.16378187600003,7.525959823397934,1,1.0,1,3.21285140562249e-05,7.525959823397934,1,1.0,1,3.21285140562249e-05,1.9034344920000876,7.525959823397934,1,1.0,1,3.21285140562249e-05,7.525959823397934,1,1.0,1,3.21285140562249e-05,2.2784952359997988,5.3662893320001785
t,t,250,80,80,1,4.341446662931024,12,1.0,1,0.0003855421686746988,4.0222067978767555,18,1.0,1,0.0005783132530120482,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9636690890001773,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3767902260001392,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2661910349997925,4.619809838000037
t,t,250,80,80,2,5.537165306513121,1,1.0,1,3.21285140562249e-05,4.427314016777542,3,1.0,1,9.63855421686747e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0479268210001464,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3474995609999496,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1864196350002203,4.594513498000197
t,t,250,80,80,3,4.597461392601735,3,1.0,1,9.63855421686747e-05,4.335791956593111,6,1.0,1,0.0001927710843373494,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9414663109996582,inf,0,0.0,0,0.0,6.2773524751801215,1,1.0,1,3.21285140562249e-05,1.4019754870000725,inf,0,0.0,0,0.0,6.2773524751801215,1,1.0,1,3.21285140562249e-05,2.058060908999778,4.414086119999865
t,t,250,80,80,4,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9815573860000768,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5173625239999637,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.083832290999908,4.595547879000151
t,t,250,80,80,5,4.5708119119803765,7,1.0,1,0.0002248995983935743,4.172314938501912,10,1.0,1,0.000321285140562249,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9085104460000366,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3942284170002495,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0944453179999982,4.410100194000279
t,t,250,80,80,6,4.899902549500495,1,1.0,1,3.21285140562249e-05,4.899902549500495,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.965256569000303,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2776171619998422,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.416260753000188,4.671983263000129
t,t,250,80,80,7,4.917611391345364,2,1.0,1,6.42570281124498e-05,4.543564790413977,3,1.0,1,9.63855421686747e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8667071800000485,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3498485069999333,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1306309160004275,4.361337822000223
t,t,250,80,80,8,4.4558624457018805,7,1.0,1,0.0002248995983935743,4.298823622453248,9,1.0,1,0.0002891566265060241,7.680886414802179,1,1.0,1,3.21285140562249e-05,7.680886414802179,1,1.0,1,3.21285140562249e-05,0.9861827160002576,7.680886414802179,1,1.0,1,3.21285140562249e-05,7.680886414802179,1,1.0,1,3.21285140562249e-05,1.3249386600000435,7.680886414802179,1,1.0,1,3.21285140562249e-05,7.680886414802179,1,1.0,1,3.21285140562249e-05,2.1875028049998946,4.511581101000047
t,t,250,80,80,9,3.913163705290809,61,1.0,1,0.0019598393574297187,3.687695121931696,71,1.0,1,0.002281124497991968,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.252795462999984,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.195058268000139,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,4.204507926000133,7.665014599999722
