model,x_model,p,n,rho,block,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
exp_cl,exp_cl,250,80,0.8,20,0,207,18,189,182,3,179,0.08695652173913043,0.9947368421052631,0.016483516483516484,0.9421052631578948,226,36,190,188,4,184,0.1592920353982301,1.0,0.02127659574468085,0.968421052631579,3.6527977332501034,188,0,188,0.0,0.9894736842105263,3.6527977332501034,188,0,188,0.0,0.9894736842105263,2.662282784603651,193,3,190,0.015544041450777202,1.0,2.422168296461051,198,8,190,0.04040404040404041,1.0,1.273989
exp_cl,exp_cl,250,80,0.8,20,1,197,7,190,192,2,190,0.03553299492385787,1.0,0.010416666666666666,1.0,211,21,190,192,2,190,0.0995260663507109,1.0,0.010416666666666666,1.0,4.280732416878677,190,0,190,0.0,1.0,4.280732416878677,190,0,190,0.0,1.0,2.7036015994548053,192,2,190,0.010416666666666666,1.0,2.4242940485135542,196,6,190,0.030612244897959183,1.0,1.171876
exp_cl,exp_cl,250,80,0.8,20,2,206,16,190,191,1,190,0.07766990291262135,1.0,0.005235602094240838,1.0,229,39,190,193,3,190,0.1703056768558952,1.0,0.015544041450777202,1.0,3.6247229625692445,191,1,190,0.005235602094240838,1.0,3.6247229625692445,191,1,190,0.005235602094240838,1.0,2.904245156109336,193,3,190,0.015544041450777202,1.0,2.480370736358385,199,9,190,0.04522613065326633,1.0,1.162923
exp_cl,exp_cl,250,80,0.8,20,3,204,14,190,192,2,190,0.06862745098039216,1.0,0.010416666666666666,1.0,226,36,190,194,4,190,0.1592920353982301,1.0,0.020618556701030927,1.0,5.225239234238732,190,0,190,0.0,1.0,5.225239234238732,190,0,190,0.0,1.0,3.139035572782226,191,1,190,0.005235602094240838,1.0,2.651877468721204,194,4,190,0.020618556701030927,1.0,1.131395
exp_cl,exp_cl,250,80,0.8,20,4,213,23,190,193,3,190,0.107981220657277,1.0,0.015544041450777202,1.0,235,45,190,197,7,190,0.19148936170212766,1.0,0.03553299492385787,1.0,4.294818254263946,190,0,190,0.0,1.0,4.294818254263946,190,0,190,0.0,1.0,3.410380188372173,191,1,190,0.005235602094240838,1.0,2.5492228911538444,197,7,190,0.03553299492385787,1.0,1.150657
exp_cl,exp_cl,250,80,0.8,20,5,206,16,190,192,2,190,0.07766990291262135,1.0,0.010416666666666666,1.0,224,34,190,192,2,190,0.15178571428571427,1.0,0.010416666666666666,1.0,5.170411870995311,190,0,190,0.0,1.0,5.170411870995311,190,0,190,0.0,1.0,2.8828413788197844,191,1,190,0.005235602094240838,1.0,2.573321651680665,195,5,190,0.02564102564102564,1.0,1.452138
exp_cl,exp_cl,250,80,0.8,20,6,203,14,189,190,1,189,0.06896551724137931,0.9947368421052631,0.005263157894736842,0.9947368421052631,216,27,189,190,1,189,0.125,0.9947368421052631,0.005263157894736842,0.9947368421052631,4.505208698405968,189,0,189,0.0,0.9947368421052631,4.505208698405968,189,0,189,0.0,0.9947368421052631,2.735970437675996,192,2,190,0.010416666666666666,1.0,2.4013115400001075,201,11,190,0.05472636815920398,1.0,1.211256
exp_cl,exp_cl,250,80,0.8,20,7,208,18,190,194,4,190,0.08653846153846154,1.0,0.020618556701030927,1.0,230,40,190,196,6,190,0.17391304347826086,1.0,0.030612244897959183,1.0,4.790434230632432,190,0,190,0.0,1.0,4.790434230632432,190,0,190,0.0,1.0,2.694055084545967,195,5,190,0.02564102564102564,1.0,2.5090259683843015,197,7,190,0.03553299492385787,1.0,1.196723
exp_cl,exp_cl,250,80,0.8,20,8,199,9,190,189,1,188,0.04522613065326633,1.0,0.005291005291005291,0.9894736842105263,218,28,190,189,1,188,0.12844036697247707,1.0,0.005291005291005291,0.9894736842105263,3.8498009814813257,190,0,190,0.0,1.0,3.8498009814813257,190,0,190,0.0,1.0,2.9443049733243036,191,1,190,0.005235602094240838,1.0,2.5261836292809843,193,3,190,0.015544041450777202,1.0,1.163775
exp_cl,exp_cl,250,80,0.8,20,9,198,8,190,188,0,188,0.04040404040404041,1.0,0.0,0.9894736842105263,223,33,190,189,0,189,0.14798206278026907,1.0,0.0,0.9947368421052631,4.053050074455481,190,0,190,0.0,1.0,4.053050074455481,190,0,190,0.0,1.0,4.053050074455481,190,0,190,0.0,1.0,2.436002745937787,195,5,190,0.02564102564102564,1.0,1.140546
exp_cl,exp_cl,250,80,0.8,20,10,215,25,190,193,3,190,0.11627906976744186,1.0,0.015544041450777202,1.0,225,35,190,196,6,190,0.15555555555555556,1.0,0.030612244897959183,1.0,4.286990014559419,191,1,190,0.005235602094240838,1.0,4.286990014559419,191,1,190,0.005235602094240838,1.0,2.747241004101674,193,3,190,0.015544041450777202,1.0,2.450593560004514,201,11,190,0.05472636815920398,1.0,1.267502
