model,x_model,p,n,rho,block,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
gaussian,gaussian,250,120,0.8,20,0,197,7,190,191,1,190,0.03553299492385787,1.0,0.005235602094240838,1.0,208,18,190,191,1,190,0.08653846153846154,1.0,0.005235602094240838,1.0,3.6432045170228435,198,8,190,0.04040404040404041,1.0,3.407152968284214,208,18,190,0.08653846153846154,1.0,3.7427764512878876,197,7,190,0.03553299492385787,1.0,3.529678781782343,199,9,190,0.04522613065326633,1.0,1.503072
gaussian,gaussian,250,120,0.8,20,1,198,8,190,190,0,190,0.04040404040404041,1.0,0.0,1.0,210,20,190,191,1,190,0.09523809523809523,1.0,0.005235602094240838,1.0,3.6122805446067843,198,8,190,0.04040404040404041,1.0,3.4111508575989933,210,20,190,0.09523809523809523,1.0,3.7175815783162562,196,6,190,0.030612244897959183,1.0,3.4678677953502857,205,15,190,0.07317073170731707,1.0,1.683077
gaussian,gaussian,250,120,0.8,20,2,201,11,190,192,2,190,0.05472636815920398,1.0,0.010416666666666666,1.0,214,24,190,193,3,190,0.11214953271028037,1.0,0.015544041450777202,1.0,3.622191350700366,200,10,190,0.05,1.0,3.392743584541103,216,26,190,0.12037037037037036,1.0,3.7179483987455386,198,8,190,0.04040404040404041,1.0,3.480498697976817,208,18,190,0.08653846153846154,1.0,1.48537
gaussian,gaussian,250,120,0.8,20,3,196,6,190,192,2,190,0.030612244897959183,1.0,0.010416666666666666,1.0,212,22,190,192,2,190,0.10377358490566038,1.0,0.010416666666666666,1.0,3.692085608783217,196,6,190,0.030612244897959183,1.0,3.403568779968519,214,24,190,0.11214953271028037,1.0,3.8153853970864735,195,5,190,0.02564102564102564,1.0,3.4821896825759944,209,19,190,0.09090909090909091,1.0,1.490573
gaussian,gaussian,250,120,0.8,20,4,203,13,190,191,1,190,0.06403940886699508,1.0,0.005235602094240838,1.0,212,22,190,192,2,190,0.10377358490566038,1.0,0.010416666666666666,1.0,3.6081613983798833,204,14,190,0.06862745098039216,1.0,3.398147300347374,215,25,190,0.11627906976744186,1.0,3.8016857085147606,195,5,190,0.02564102564102564,1.0,3.530139199082655,207,17,190,0.0821256038647343,1.0,1.210662
gaussian,gaussian,250,120,0.8,20,5,202,12,190,191,1,190,0.0594059405940594,1.0,0.005235602094240838,1.0,209,19,190,194,4,190,0.09090909090909091,1.0,0.020618556701030927,1.0,3.593934232693886,203,13,190,0.06403940886699508,1.0,3.400678872232681,212,22,190,0.10377358490566038,1.0,3.6793984650177083,201,11,190,0.05472636815920398,1.0,3.4455842659547753,211,21,190,0.0995260663507109,1.0,1.218478
gaussian,gaussian,250,120,0.8,20,6,197,7,190,190,0,190,0.03553299492385787,1.0,0.0,1.0,205,15,190,190,0,190,0.07317073170731707,1.0,0.0,1.0,3.64739417459706,197,7,190,0.03553299492385787,1.0,3.4077784918933847,205,15,190,0.07317073170731707,1.0,3.692081576567265,195,5,190,0.02564102564102564,1.0,3.472495376377462,203,13,190,0.06403940886699508,1.0,1.44352
gaussian,gaussian,250,120,0.8,20,7,199,9,190,191,1,190,0.04522613065326633,1.0,0.005235602094240838,1.0,207,17,190,191,1,190,0.0821256038647343,1.0,0.005235602094240838,1.0,3.6087614990771852,199,9,190,0.04522613065326633,1.0,3.409261670419968,209,19,190,0.09090909090909091,1.0,3.7148910802333313,195,5,190,0.02564102564102564,1.0,3.4721807680767736,206,16,190,0.07766990291262135,1.0,1.255312
gaussian,gaussian,250,120,0.8,20,8,198,8,190,190,0,190,0.04040404040404041,1.0,0.0,1.0,203,13,190,190,0,190,0.06403940886699508,1.0,0.0,1.0,3.6003991226850687,198,8,190,0.04040404040404041,1.0,3.441249538064075,203,13,190,0.06403940886699508,1.0,3.7073528938133915,195,5,190,0.02564102564102564,1.0,3.490124540607795,202,12,190,0.0594059405940594,1.0,1.415602
gaussian,gaussian,250,120,0.8,20,9,201,11,190,190,0,190,0.05472636815920398,1.0,0.0,1.0,210,20,190,190,0,190,0.09523809523809523,1.0,0.0,1.0,3.6268283607006566,201,11,190,0.05472636815920398,1.0,3.4153709768972376,213,23,190,0.107981220657277,1.0,3.7047014304996826,197,7,190,0.03553299492385787,1.0,3.4875303515550744,205,15,190,0.07317073170731707,1.0,1.235342
