model,x_model,p,n,rho,block,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
nmix,nmix,250,200,0.7,20,0,502,312,190,233,45,188,0.6215139442231076,1.0,0.19313304721030042,0.9894736842105263,924,734,190,263,73,190,0.7943722943722944,1.0,0.27756653992395436,1.0,3.7051508302574536,194,4,190,0.020618556701030927,1.0,3.4063912349803878,209,19,190,0.09090909090909091,1.0,3.7051508302574536,194,4,190,0.020618556701030927,1.0,3.484178483592223,204,14,190,0.06862745098039216,1.0,1.581057
nmix,nmix,250,200,0.7,20,1,670,480,190,257,67,190,0.7164179104477612,1.0,0.2607003891050584,1.0,1168,978,190,291,101,190,0.8373287671232876,1.0,0.3470790378006873,1.0,3.8287219788055453,194,4,190,0.020618556701030927,1.0,3.4277998421315625,212,22,190,0.10377358490566038,1.0,3.8287219788055453,194,4,190,0.020618556701030927,1.0,3.531765860410485,202,12,190,0.0594059405940594,1.0,1.684334
nmix,nmix,250,200,0.7,20,2,572,382,190,244,54,190,0.6678321678321678,1.0,0.22131147540983606,1.0,971,781,190,279,89,190,0.8043254376930999,1.0,0.31899641577060933,1.0,3.7206657487402977,195,5,190,0.02564102564102564,1.0,3.409696856238877,204,14,190,0.06862745098039216,1.0,3.7206657487402977,195,5,190,0.02564102564102564,1.0,3.4840793854970027,199,9,190,0.04522613065326633,1.0,1.643753
nmix,nmix,250,200,0.7,20,3,616,426,190,267,77,190,0.6915584415584416,1.0,0.2883895131086142,1.0,1110,920,190,294,104,190,0.8288288288288288,1.0,0.35374149659863946,1.0,3.591750872278358,206,16,190,0.07766990291262135,1.0,3.4279307323440946,215,25,190,0.11627906976744186,1.0,3.6768078640720234,200,10,190,0.05,1.0,3.488334728776462,210,20,190,0.09523809523809523,1.0,1.608306
nmix,nmix,250,200,0.7,20,4,537,347,190,240,50,190,0.6461824953445066,1.0,0.20833333333333334,1.0,982,792,190,274,84,190,0.8065173116089613,1.0,0.30656934306569344,1.0,3.601061425042771,201,11,190,0.05472636815920398,1.0,3.404102651888616,212,22,190,0.10377358490566038,1.0,3.6694385282397475,198,8,190,0.04040404040404041,1.0,3.47252708264978,205,15,190,0.07317073170731707,1.0,1.574863
nmix,nmix,250,200,0.7,20,5,557,367,190,237,47,190,0.6588868940754039,1.0,0.19831223628691982,1.0,957,767,190,269,79,190,0.8014629049111808,1.0,0.2936802973977695,1.0,3.608985700356207,199,9,190,0.04522613065326633,1.0,3.4475639071228508,205,15,190,0.07317073170731707,1.0,3.7164692767918455,196,6,190,0.030612244897959183,1.0,3.5094308269856453,204,14,190,0.06862745098039216,1.0,1.963424
nmix,nmix,250,200,0.7,20,6,580,390,190,256,66,190,0.6724137931034483,1.0,0.2578125,1.0,1052,862,190,293,103,190,0.8193916349809885,1.0,0.3515358361774744,1.0,3.602729118400386,201,11,190,0.05472636815920398,1.0,3.393658011883241,219,29,190,0.1324200913242009,1.0,3.683365159334677,197,7,190,0.03553299492385787,1.0,3.485842905679335,209,19,190,0.09090909090909091,1.0,1.62541
nmix,nmix,250,200,0.7,20,7,557,367,190,248,58,190,0.6588868940754039,1.0,0.23387096774193547,1.0,954,764,190,294,104,190,0.80083857442348,1.0,0.35374149659863946,1.0,3.625378189527691,198,8,190,0.04040404040404041,1.0,3.4116249612110408,207,17,190,0.0821256038647343,1.0,3.725724789782176,196,6,190,0.030612244897959183,1.0,3.469764001505636,204,14,190,0.06862745098039216,1.0,1.599602
nmix,nmix,250,200,0.7,20,8,441,251,190,227,38,189,0.5691609977324263,1.0,0.16740088105726872,0.9947368421052631,817,627,190,250,60,190,0.7674418604651163,1.0,0.24,1.0,3.6379549524583705,197,7,190,0.03553299492385787,1.0,3.400803735093269,210,20,190,0.09523809523809523,1.0,3.66952699851141,195,5,190,0.02564102564102564,1.0,3.4929950783749453,204,14,190,0.06862745098039216,1.0,1.75236
nmix,nmix,250,200,0.7,20,9,804,614,190,269,79,190,0.763681592039801,1.0,0.2936802973977695,1.0,1367,1177,190,333,143,190,0.8610095098756401,1.0,0.4294294294294294,1.0,3.627288592098146,201,11,190,0.05472636815920398,1.0,3.4316213079145834,212,22,190,0.10377358490566038,1.0,3.79310339049373,197,7,190,0.03553299492385787,1.0,3.478574787364365,210,20,190,0.09523809523809523,1.0,1.517849
