model,x_model,p,n,rho,block,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
t_cl,t_cl,250,120,0.6,20,0,183,7,176,147,1,146,0.03825136612021858,0.9263157894736842,0.006802721088435374,0.7684210526315789,201,19,182,159,3,156,0.0945273631840796,0.9578947368421052,0.018867924528301886,0.8210526315789474,3.667047065692858,173,0,173,0.0,0.9105263157894737,3.456768507402429,180,0,180,0.0,0.9473684210526315,2.9234722266320023,191,7,184,0.03664921465968586,0.968421052631579,2.7394620119508133,205,19,186,0.09268292682926829,0.9789473684210527,1.300732
t_cl,t_cl,250,120,0.6,20,1,191,11,180,148,0,148,0.05759162303664921,0.9473684210526315,0.0,0.7789473684210526,203,19,184,159,1,158,0.09359605911330049,0.968421052631579,0.006289308176100629,0.8315789473684211,3.666207668265765,174,0,174,0.0,0.9157894736842105,3.48439910948594,180,0,180,0.0,0.9473684210526315,2.8629350516109415,194,10,184,0.05154639175257732,0.968421052631579,2.7130821145881896,201,16,185,0.07960199004975124,0.9736842105263158,1.228238
t_cl,t_cl,250,120,0.6,20,2,193,6,187,185,2,183,0.031088082901554404,0.9842105263157894,0.010810810810810811,0.9631578947368421,209,21,188,188,2,186,0.10047846889952153,0.9894736842105263,0.010638297872340425,0.9789473684210527,3.7820888670803097,187,0,187,0.0,0.9842105263157894,3.7820888670803097,187,0,187,0.0,0.9842105263157894,2.92294727196638,194,4,190,0.020618556701030927,1.0,2.758714479264088,201,11,190,0.05472636815920398,1.0,1.26093
t_cl,t_cl,250,120,0.6,20,3,195,12,183,171,1,170,0.06153846153846154,0.9631578947368421,0.005847953216374269,0.8947368421052632,217,31,186,175,2,173,0.14285714285714285,0.9789473684210527,0.011428571428571429,0.9105263157894737,3.628660790246114,183,0,183,0.0,0.9631578947368421,3.4335039012454995,187,1,186,0.0053475935828877,0.9789473684210527,2.9575236127304123,193,6,187,0.031088082901554404,0.9842105263157894,2.747495855273854,214,25,189,0.11682242990654206,0.9947368421052631,1.461895
t_cl,t_cl,250,120,0.6,20,4,167,5,162,115,0,115,0.029940119760479042,0.8526315789473684,0.0,0.6052631578947368,186,15,171,132,2,130,0.08064516129032258,0.9,0.015151515151515152,0.6842105263157895,3.7154927819361476,155,0,155,0.0,0.8157894736842105,3.5136549081599773,164,0,164,0.0,0.8631578947368421,2.932389342703081,183,7,176,0.03825136612021858,0.9263157894736842,2.7707433541194995,192,13,179,0.06770833333333333,0.9421052631578948,1.279362
t_cl,t_cl,250,120,0.6,20,5,201,17,184,167,2,165,0.0845771144278607,0.968421052631579,0.011976047904191617,0.868421052631579,216,28,188,178,5,173,0.12962962962962962,0.9894736842105263,0.028089887640449437,0.9105263157894737,3.62364281802854,182,0,182,0.0,0.9578947368421052,3.488052178178487,185,1,184,0.005405405405405406,0.968421052631579,2.8403120977968004,202,13,189,0.06435643564356436,0.9947368421052631,2.6933615547749703,212,23,189,0.10849056603773585,0.9947368421052631,1.252976
t_cl,t_cl,250,120,0.6,20,6,194,7,187,181,0,181,0.03608247422680412,0.9842105263157894,0.0,0.9526315789473684,208,21,187,185,1,184,0.10096153846153846,0.9842105263157894,0.005405405405405406,0.968421052631579,3.737985784814609,186,0,186,0.0,0.9789473684210527,3.737985784814609,186,0,186,0.0,0.9789473684210527,2.9411597772169,193,4,189,0.02072538860103627,0.9947368421052631,2.7064277463636808,204,14,190,0.06862745098039216,1.0,1.202734
t_cl,t_cl,250,120,0.6,20,7,197,15,182,166,1,165,0.07614213197969544,0.9578947368421052,0.006024096385542169,0.868421052631579,205,22,183,170,2,168,0.1073170731707317,0.9631578947368421,0.011764705882352941,0.8842105263157894,3.674762133299836,180,0,180,0.0,0.9473684210526315,3.5284478894608475,181,0,181,0.0,0.9526315789473684,2.833800394710553,199,12,187,0.06030150753768844,0.9842105263157894,2.6716326950747313,210,21,189,0.1,0.9947368421052631,1.345227
t_cl,t_cl,250,120,0.6,20,8,195,5,190,186,0,186,0.02564102564102564,1.0,0.0,0.9789473684210527,208,18,190,188,0,188,0.08653846153846154,1.0,0.0,0.9894736842105263,3.6590515170571245,190,0,190,0.0,1.0,3.6590515170571245,190,0,190,0.0,1.0,3.0269167073418064,193,3,190,0.015544041450777202,1.0,2.7035586145823114,200,10,190,0.05,1.0,1.250607
t_cl,t_cl,250,120,0.6,20,9,191,12,179,151,1,150,0.06282722513089005,0.9421052631578948,0.006622516556291391,0.7894736842105263,212,28,184,161,3,158,0.1320754716981132,0.968421052631579,0.018633540372670808,0.8315789473684211,3.6781095853936083,169,0,169,0.0,0.8894736842105263,3.4774321871341254,178,0,178,0.0,0.9368421052631579,2.876249175506782,198,10,188,0.050505050505050504,0.9894736842105263,2.700373763575259,211,22,189,0.10426540284360189,0.9947368421052631,1.3236
