model,x_model,p,n1,n2,rho,block,cov_kind,decay,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_cai_liu_0.05,R_lct_cai_liu_0.05,V_lct_cai_liu_0.05,S_lct_cai_liu_0.05,fdr_lct_cai_liu_0.05,power_lct_cai_liu_0.05,t_lct_cai_liu_0.1,R_lct_cai_liu_0.1,V_lct_cai_liu_0.1,S_lct_cai_liu_0.1,fdr_lct_cai_liu_0.1,power_lct_cai_liu_0.1,t_lct_gaussian_0.05,R_lct_gaussian_0.05,V_lct_gaussian_0.05,S_lct_gaussian_0.05,fdr_lct_gaussian_0.05,power_lct_gaussian_0.05,t_lct_gaussian_0.1,R_lct_gaussian_0.1,V_lct_gaussian_0.1,S_lct_gaussian_0.1,fdr_lct_gaussian_0.1,power_lct_gaussian_0.1,t_lct_jackknife_0.05,R_lct_jackknife_0.05,V_lct_jackknife_0.05,S_lct_jackknife_0.05,fdr_lct_jackknife_0.05,power_lct_jackknife_0.05,t_lct_jackknife_0.1,R_lct_jackknife_0.1,V_lct_jackknife_0.1,S_lct_jackknife_0.1,fdr_lct_jackknife_0.1,power_lct_jackknife_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,0,19,0,19,18,0,18,0.0,0.1,0.0,0.09473684210526316,22,1,21,18,0,18,0.045454545454545456,0.11052631578947368,0.0,0.09473684210526316,4.3437921818553855,23,0,23,0.0,0.12105263157894737,4.006550766096601,24,1,23,0.041666666666666664,0.12105263157894737,4.325824714246175,23,0,23,0.0,0.12105263157894737,3.989978248788981,24,1,23,0.041666666666666664,0.12105263157894737,4.287395793504708,17,0,17,0.0,0.08947368421052632,4.035276677070469,19,1,18,0.05263157894736842,0.09473684210526316,4.3437921818553855,23,0,23,0.0,0.12105263157894737,4.006550766096601,24,1,23,0.041666666666666664,0.12105263157894737,2.507374
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,1,31,1,30,20,0,20,0.03225806451612903,0.15789473684210525,0.0,0.10526315789473684,35,3,32,22,0,22,0.08571428571428572,0.16842105263157894,0.0,0.11578947368421053,4.237329568034771,33,1,32,0.030303030303030304,0.16842105263157894,3.886352280483911,36,3,33,0.08333333333333333,0.1736842105263158,4.22622283461371,33,1,32,0.030303030303030304,0.16842105263157894,3.876165515903386,36,3,33,0.08333333333333333,0.1736842105263158,4.140658299877582,23,1,22,0.043478260869565216,0.11578947368421053,3.9347920170886614,29,2,27,0.06896551724137931,0.14210526315789473,4.237329568034771,33,1,32,0.030303030303030304,0.16842105263157894,3.886352280483911,36,3,33,0.08333333333333333,0.1736842105263158,2.025493
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,2,20,1,19,18,0,18,0.05,0.1,0.0,0.09473684210526316,23,4,19,18,0,18,0.17391304347826086,0.1,0.0,0.09473684210526316,4.11616190387735,25,2,23,0.08,0.12105263157894737,3.9770261844800987,28,4,24,0.14285714285714285,0.12631578947368421,4.129402733089336,24,1,23,0.041666666666666664,0.12105263157894737,3.9472771318805617,28,4,24,0.14285714285714285,0.12631578947368421,4.260356237327287,15,0,15,0.0,0.07894736842105263,4.094280484781658,17,1,16,0.058823529411764705,0.08421052631578947,4.160524393668768,24,1,23,0.041666666666666664,0.12105263157894737,3.9770261844800987,28,4,24,0.14285714285714285,0.12631578947368421,1.998055
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,3,27,3,24,19,0,19,0.1111111111111111,0.12631578947368421,0.0,0.1,28,3,25,21,1,20,0.10714285714285714,0.13157894736842105,0.047619047619047616,0.10526315789473684,4.134357543638132,31,3,28,0.0967741935483871,0.14736842105263157,4.010922077890331,32,3,29,0.09375,0.15263157894736842,4.102760576368379,31,3,28,0.0967741935483871,0.14736842105263157,3.98026847033971,32,3,29,0.09375,0.15263157894736842,4.124711932519765,25,3,22,0.12,0.11578947368421053,4.060901706294819,26,4,22,0.15384615384615385,0.11578947368421053,4.134357543638132,31,3,28,0.0967741935483871,0.14736842105263157,4.010922077890331,32,3,29,0.09375,0.15263157894736842,1.975532
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,4,21,3,18,18,0,18,0.14285714285714285,0.09473684210526316,0.0,0.09473684210526316,25,4,21,19,1,18,0.16,0.11052631578947368,0.05263157894736842,0.09473684210526316,4.106134235337479,26,3,23,0.11538461538461539,0.12105263157894737,3.9558952935624747,29,4,25,0.13793103448275862,0.13157894736842105,4.1147381292119265,25,3,22,0.12,0.11578947368421053,3.913106909418708,29,4,25,0.13793103448275862,0.13157894736842105,4.272112562693663,17,1,16,0.058823529411764705,0.08421052631578947,3.9764618611389224,24,5,19,0.20833333333333334,0.1,4.159731276549645,25,3,22,0.12,0.11578947368421053,3.9558952935624747,29,4,25,0.13793103448275862,0.13157894736842105,1.91219
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,5,22,0,22,20,0,20,0.0,0.11578947368421053,0.0,0.10526315789473684,29,4,25,21,0,21,0.13793103448275862,0.13157894736842105,0.0,0.11052631578947368,4.245559309763858,29,0,29,0.0,0.15263157894736842,3.9121191246419205,35,4,31,0.11428571428571428,0.1631578947368421,4.214732285498247,29,0,29,0.0,0.15263157894736842,3.8837132109833954,35,4,31,0.11428571428571428,0.1631578947368421,4.189164056858217,20,1,19,0.05,0.1,4.010672513064649,22,3,19,0.13636363636363635,0.1,4.245559309763858,29,0,29,0.0,0.15263157894736842,3.9121191246419205,35,4,31,0.11428571428571428,0.1631578947368421,1.8737
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,6,28,0,28,21,0,21,0.0,0.14736842105263157,0.0,0.11052631578947368,30,1,29,24,0,24,0.03333333333333333,0.15263157894736842,0.0,0.12631578947368421,4.353492149481948,30,0,30,0.0,0.15789473684210525,3.8982463392794333,31,0,31,0.0,0.1631578947368421,4.3212101981012,30,0,30,0.0,0.15789473684210525,4.3212101981012,30,0,30,0.0,0.15789473684210525,4.157790594846437,24,0,24,0.0,0.12631578947368421,4.0377539618547,26,1,25,0.038461538461538464,0.13157894736842105,4.353492149481948,30,0,30,0.0,0.15789473684210525,4.353492149481948,30,0,30,0.0,0.15789473684210525,1.995372
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,7,22,1,21,19,0,19,0.045454545454545456,0.11052631578947368,0.0,0.1,26,4,22,19,0,19,0.15384615384615385,0.11578947368421053,0.0,0.1,4.1123961361532535,26,2,24,0.07692307692307693,0.12631578947368421,3.955697187739286,30,5,25,0.16666666666666666,0.13157894736842105,4.276458270983749,25,2,23,0.08,0.12105263157894737,3.937237125719656,30,5,25,0.16666666666666666,0.13157894736842105,4.285379113520185,17,0,17,0.0,0.08947368421052632,4.080284294844865,18,1,17,0.05555555555555555,0.08947368421052632,4.296508799409134,25,2,23,0.08,0.12105263157894737,3.955697187739286,30,5,25,0.16666666666666666,0.13157894736842105,2.296938
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,8,19,0,19,18,0,18,0.0,0.1,0.0,0.09473684210526316,20,0,20,18,0,18,0.0,0.10526315789473684,0.0,0.09473684210526316,4.228786375198986,23,0,23,0.0,0.12105263157894737,4.228786375198986,23,0,23,0.0,0.12105263157894737,4.191660170141409,23,0,23,0.0,0.12105263157894737,4.191660170141409,23,0,23,0.0,0.12105263157894737,4.253141911696574,14,0,14,0.0,0.07368421052631578,4.158770929630377,16,0,16,0.0,0.08421052631578947,4.228786375198986,23,0,23,0.0,0.12105263157894737,4.228786375198986,23,0,23,0.0,0.12105263157894737,1.871787
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,9,18,1,17,17,0,17,0.05555555555555555,0.08947368421052632,0.0,0.08947368421052632,21,2,19,17,0,17,0.09523809523809523,0.1,0.0,0.08947368421052632,4.1245939441083515,24,2,22,0.08333333333333333,0.11578947368421053,3.931919976212903,27,3,24,0.1111111111111111,0.12631578947368421,4.268867166884778,22,1,21,0.045454545454545456,0.11052631578947368,4.071589173714172,24,2,22,0.08333333333333333,0.11578947368421053,4.20886892547463,18,2,16,0.1111111111111111,0.08421052631578947,4.060971414145637,20,3,17,0.15,0.08947368421052632,4.324440142047587,22,1,21,0.045454545454545456,0.11052631578947368,4.1245939441083515,24,2,22,0.08333333333333333,0.11578947368421053,2.081194
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,10,22,0,22,16,0,16,0.0,0.11578947368421053,0.0,0.08421052631578947,26,2,24,16,0,16,0.07692307692307693,0.12631578947368421,0.0,0.08421052631578947,4.376378479890862,24,0,24,0.0,0.12631578947368421,3.9725071296433323,25,1,24,0.04,0.12631578947368421,4.357533384325607,24,0,24,0.0,0.12631578947368421,3.9554011419332262,25,1,24,0.04,0.12631578947368421,4.226116413898948,17,0,17,0.0,0.08947368421052632,4.1006470496583045,18,0,18,0.0,0.09473684210526316,4.376378479890862,24,0,24,0.0,0.12631578947368421,3.9725071296433323,25,1,24,0.04,0.12631578947368421,1.890069
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,11,23,2,21,17,0,17,0.08695652173913043,0.11052631578947368,0.0,0.08947368421052632,23,2,21,18,0,18,0.08695652173913043,0.11052631578947368,0.0,0.09473684210526316,4.2039683437513515,24,1,23,0.041666666666666664,0.12105263157894737,3.9568131919762,28,2,26,0.07142857142857142,0.1368421052631579,4.185974934356506,24,1,23,0.041666666666666664,0.12105263157894737,3.9398776316102477,28,2,26,0.07142857142857142,0.1368421052631579,4.197403905527411,17,2,15,0.11764705882352941,0.07894736842105263,4.056232389017531,19,2,17,0.10526315789473684,0.08947368421052632,4.2039683437513515,24,1,23,0.041666666666666664,0.12105263157894737,3.9568131919762,28,2,26,0.07142857142857142,0.1368421052631579,1.860122
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,12,20,0,20,19,0,19,0.0,0.10526315789473684,0.0,0.1,23,1,22,19,0,19,0.043478260869565216,0.11578947368421053,0.0,0.1,4.616364088399273,22,0,22,0.0,0.11578947368421053,4.026265472147979,23,1,22,0.043478260869565216,0.11578947368421053,4.563573723759798,22,0,22,0.0,0.11578947368421053,3.980223171683823,23,1,22,0.043478260869565216,0.11578947368421053,4.3592167237553285,15,0,15,0.0,0.07894736842105263,4.3592167237553285,15,0,15,0.0,0.07894736842105263,4.616364088399273,22,0,22,0.0,0.11578947368421053,4.616364088399273,22,0,22,0.0,0.11578947368421053,2.178982
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,13,26,0,26,21,0,21,0.0,0.1368421052631579,0.0,0.11052631578947368,26,0,26,21,0,21,0.0,0.1368421052631579,0.0,0.11052631578947368,4.203861255457804,29,0,29,0.0,0.15263157894736842,4.041065589106606,31,1,30,0.03225806451612903,0.15789473684210525,4.166085721690368,29,0,29,0.0,0.15263157894736842,4.004752923121368,31,1,30,0.03225806451612903,0.15789473684210525,4.165438096804513,23,0,23,0.0,0.12105263157894737,4.0529314439323345,25,0,25,0.0,0.13157894736842105,4.203861255457804,29,0,29,0.0,0.15263157894736842,4.041065589106606,31,1,30,0.03225806451612903,0.15789473684210525,1.879787
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,14,27,1,26,22,0,22,0.037037037037037035,0.1368421052631579,0.0,0.11578947368421053,30,2,28,23,0,23,0.06666666666666667,0.14736842105263157,0.0,0.12105263157894737,4.095813214722846,32,1,31,0.03125,0.1631578947368421,4.025485468646004,33,2,31,0.06060606060606061,0.1631578947368421,4.063666524981742,32,1,31,0.03125,0.1631578947368421,3.993890758234719,33,2,31,0.06060606060606061,0.1631578947368421,4.153932834803394,23,3,20,0.13043478260869565,0.10526315789473684,3.981226945829003,24,3,21,0.125,0.11052631578947368,4.16802820859987,30,1,29,0.03333333333333333,0.15263157894736842,4.025485468646004,33,2,31,0.06060606060606061,0.1631578947368421,1.778936
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,15,25,1,24,18,0,18,0.04,0.12631578947368421,0.0,0.09473684210526316,27,2,25,22,0,22,0.07407407407407407,0.13157894736842105,0.0,0.11578947368421053,4.102462985605984,28,1,27,0.03571428571428571,0.14210526315789473,3.8913459548238682,33,4,29,0.12121212121212122,0.15263157894736842,4.2448345388460735,26,0,26,0.0,0.1368421052631579,3.9288875124033122,31,2,29,0.06451612903225806,0.15263157894736842,4.2450345693771885,18,1,17,0.05555555555555555,0.08947368421052632,3.981160800607562,24,3,21,0.125,0.11052631578947368,4.287087705998769,26,0,26,0.0,0.1368421052631579,3.9679957365912086,31,2,29,0.06451612903225806,0.15263157894736842,2.142147
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,16,24,0,24,20,0,20,0.0,0.12631578947368421,0.0,0.10526315789473684,27,2,25,21,0,21,0.07407407407407407,0.13157894736842105,0.0,0.11052631578947368,4.078529442224753,30,2,28,0.06666666666666667,0.14736842105263157,4.002576904882047,31,3,28,0.0967741935483871,0.14736842105263157,4.207357754886327,29,2,27,0.06896551724137931,0.14210526315789473,3.950161149557836,31,3,28,0.0967741935483871,0.14736842105263157,4.159887068785076,20,0,20,0.0,0.10526315789473684,3.985603191655649,23,3,20,0.13043478260869565,0.10526315789473684,4.263186321441448,29,2,27,0.06896551724137931,0.14210526315789473,4.002576904882047,31,3,28,0.0967741935483871,0.14736842105263157,1.864574
gaussian,gaussian,250,120,200,0.6,20,block_ar1,0.6,17,20,1,19,16,0,16,0.05,0.1,0.0,0.08421052631578947,25,5,20,17,0,17,0.2,0.10526315789473684,0.0,0.08947368421052632,4.098826734600608,27,3,24,0.1111111111111111,0.12631578947368421,3.9264278941072215,31,6,25,0.1935483870967742,0.13157894736842105,4.136378064634554,24,2,22,0.08333333333333333,0.11578947368421053,3.896623973147102,31,6,25,0.1935483870967742,0.13157894736842105,4.239073653109694,20,2,18,0.1,0.09473684210526316,4.002729351691061,23,4,19,0.17391304347826086,0.1,4.3275436463130275,23,1,22,0.043478260869565216,0.11578947368421053,4.053700434717065,28,4,24,0.14285714285714285,0.12631578947368421,2.102586
