file,model,p,n,rho,alpha,method,mean,se
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,-,BH,0.09740640839452544,0.004754045020522558
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,-,BY,0.01001357351029861,0.0016741571336221703
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,-,LCT-B,0.0606060606060606,
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,-,LCT-N,0.10257672156764723,0.005239076028138319
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,0.05,BH,0.04509000975761791,0.003082164491976664
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,0.05,BY,0.00543766871217241,0.0019473371078108205
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,0.05,LCT-B,0.0394736842105263,
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,0.05,LCT-N,0.049409751813484296,0.00260881143142517
power_gaussian_p250_n120_rho0.6_b20_R20.csv,gaussian,250,120,0.6,-,BH,0.09910705420008709,0.004961791767977654
power_gaussian_p250_n120_rho0.6_b20_R20.csv,gaussian,250,120,0.6,-,BY,0.009454064632067315,0.0015017721453438194
power_gaussian_p250_n120_rho0.6_b20_R20.csv,gaussian,250,120,0.6,-,LCT-B,0.0656565656565656,
power_gaussian_p250_n120_rho0.6_b20_R20.csv,gaussian,250,120,0.6,-,LCT-N,0.10753778791163437,0.00530278327439582
power_gaussian_p250_n120_rho0.6_b20_R20.csv,gaussian,250,120,0.6,0.05,BH,0.047955806197182586,0.00305817963938367
power_gaussian_p250_n120_rho0.6_b20_R20.csv,gaussian,250,120,0.6,0.05,BY,0.0048337759357546,0.0009368097540093055
power_gaussian_p250_n120_rho0.6_b20_R20.csv,gaussian,250,120,0.6,0.05,LCT-B,0.0414507772020725,
power_gaussian_p250_n120_rho0.6_b20_R20.csv,gaussian,250,120,0.6,0.05,LCT-N,0.051225128295766975,0.00297306324476168
power_gaussian_p250_n120_rho0.7_b20_R20.csv,gaussian,250,120,0.7,-,BH,0.09474206389945194,0.005011185401043302
power_gaussian_p250_n120_rho0.7_b20_R20.csv,gaussian,250,120,0.7,-,BY,0.00832026415006544,0.0014683983347047642
power_gaussian_p250_n120_rho0.7_b20_R20.csv,gaussian,250,120,0.7,-,LCT-B,0.0594059405940594,
power_gaussian_p250_n120_rho0.7_b20_R20.csv,gaussian,250,120,0.7,-,LCT-N,0.10150057092303226,0.005261584797114555
power_gaussian_p250_n120_rho0.7_b20_R20.csv,gaussian,250,120,0.7,0.05,BH,0.04719030961446806,0.0032720377013543767
power_gaussian_p250_n120_rho0.7_b20_R20.csv,gaussian,250,120,0.7,0.05,BY,0.003936433123967529,0.0008385685800476684
power_gaussian_p250_n120_rho0.7_b20_R20.csv,gaussian,250,120,0.7,0.05,LCT-B,0.0355329949238578,
power_gaussian_p250_n120_rho0.7_b20_R20.csv,gaussian,250,120,0.7,0.05,LCT-N,0.04933863298061337,0.003039171344138599
power_gaussian_p250_n120_rho0.8_b20_R20.csv,gaussian,250,120,0.8,-,BH,0.09504173356433543,0.005449689872684534
power_gaussian_p250_n120_rho0.8_b20_R20.csv,gaussian,250,120,0.8,-,BY,0.009067993592504969,0.0017392677180202438
power_gaussian_p250_n120_rho0.8_b20_R20.csv,gaussian,250,120,0.8,-,LCT-B,0.0452261306532663,
power_gaussian_p250_n120_rho0.8_b20_R20.csv,gaussian,250,120,0.8,-,LCT-N,0.10231594252996931,0.005367243862073726
power_gaussian_p250_n120_rho0.8_b20_R20.csv,gaussian,250,120,0.8,0.05,BH,0.04740610601304094,0.003258270190954057
power_gaussian_p250_n120_rho0.8_b20_R20.csv,gaussian,250,120,0.8,0.05,BY,0.00417757417102964,0.0008948353171077166
power_gaussian_p250_n120_rho0.8_b20_R20.csv,gaussian,250,120,0.8,0.05,LCT-B,0.0355329949238578,
power_gaussian_p250_n120_rho0.8_b20_R20.csv,gaussian,250,120,0.8,0.05,LCT-N,0.04981146309993524,0.003058910255017503
power_gaussian_p250_n200_rho0.5_b20_R20.csv,gaussian,250,200,0.5,-,BH,0.11082672372908735,0.0033865121565301755
power_gaussian_p250_n200_rho0.5_b20_R20.csv,gaussian,250,200,0.5,-,BY,0.01023277669027506,0.0017723247445018081
power_gaussian_p250_n200_rho0.5_b20_R20.csv,gaussian,250,200,0.5,-,LCT-B,0.0966183574879227,
power_gaussian_p250_n200_rho0.5_b20_R20.csv,gaussian,250,200,0.5,-,LCT-N,0.11177750084951196,0.0029298603386298267
power_gaussian_p250_n200_rho0.5_b20_R20.csv,gaussian,250,200,0.5,0.05,BH,0.05765495842519393,0.0027937777874842726
power_gaussian_p250_n200_rho0.5_b20_R20.csv,gaussian,250,200,0.5,0.05,BY,0.0055419854294788,0.001483398212653689
power_gaussian_p250_n200_rho0.5_b20_R20.csv,gaussian,250,200,0.5,0.05,LCT-B,0.0507614213197969,
power_gaussian_p250_n200_rho0.5_b20_R20.csv,gaussian,250,200,0.5,0.05,LCT-N,0.0589246425022593,0.0029905762039940864
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,-,BH,0.11035371914350034,0.0041220904906472625
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,-,BY,0.01141316355071674,0.0017701490682974512
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,-,LCT-B,0.0594059405940594,
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,-,LCT-N,0.11079670365467031,0.0038213825414039736
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,0.05,BH,0.05546888701466278,0.0032331016168296546
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,0.05,BY,0.005997961338312285,0.0013186463560489969
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,0.05,LCT-B,0.0306122448979591,
power_gaussian_p250_n200_rho0.6_b20_R20.csv,gaussian,250,200,0.6,0.05,LCT-N,0.057777352692375994,0.0033752267918869456
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,-,BH,0.11011586762684171,0.0041253723038510385
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,-,BY,0.010352687851249095,0.0018191900274998223
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,-,LCT-B,0.0686274509803921,
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,-,LCT-N,0.10987876349115804,0.004271827060653637
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,0.05,BH,0.05547367791209279,0.0030890422792165867
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,0.05,BY,0.005197636888393175,0.0014060048201939418
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,0.05,LCT-B,0.0355329949238578,
power_gaussian_p250_n200_rho0.7_b20_R20.csv,gaussian,250,200,0.7,0.05,LCT-N,0.05707752662880837,0.003364866731456791
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,-,BH,0.10901025179587276,0.003226577527141025
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,-,BY,0.01060641361376178,0.001874161055212902
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,-,LCT-B,0.0547263681592039,
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,-,LCT-N,0.1086118791846414,0.003074241924557369
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,0.05,BH,0.05571255440500974,0.0030536437765573327
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,0.05,BY,0.005454005627598705,0.0014776387169795483
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,0.05,LCT-B,0.0206185567010309,
power_gaussian_p250_n200_rho0.8_b20_R20.csv,gaussian,250,200,0.8,0.05,LCT-N,0.05686214620718982,0.003224431240134522
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,-,BH,0.11408165245180697,0.018485722315843396
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,-,BY,0.009860843483403865,0.002970139109157945
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,-,LCT-B,0.0434782608695652,
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,-,LCT-N,0.11617068051426796,0.006532064022733006
