model,x_model,p,n1,n2,rho,block,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
gaussian,gaussian,500,120,120,0.65,20,0,197,12,185,172,2,170,0.06091370558375635,0.9736842105263158,0.011627906976744186,0.8947368421052632,215,29,186,175,2,173,0.13488372093023257,0.9789473684210527,0.011428571428571429,0.9105263157894737,3.9400483622470346,204,14,190,0.06862745098039216,1.0,3.7566585018569914,220,30,190,0.13636363636363635,1.0,3.983968018895773,202,12,190,0.0594059405940594,1.0,3.768058932159204,219,29,190,0.1324200913242009,1.0,13.209316
gaussian,gaussian,500,120,120,0.65,20,1,167,8,159,119,0,119,0.04790419161676647,0.8368421052631579,0.0,0.6263157894736842,177,15,162,129,0,129,0.0847457627118644,0.8526315789473684,0.0,0.6789473684210526,3.9620541066836963,187,8,179,0.0427807486631016,0.9421052631578948,3.776187062256957,200,17,183,0.085,0.9631578947368421,4.007966497234481,184,7,177,0.03804347826086957,0.9315789473684211,3.811098097630292,198,15,183,0.07575757575757576,0.9631578947368421,11.957919
gaussian,gaussian,500,120,120,0.65,20,2,198,10,188,182,1,181,0.050505050505050504,0.9894736842105263,0.005494505494505495,0.9526315789473684,215,27,188,184,1,183,0.12558139534883722,0.9894736842105263,0.005434782608695652,0.9631578947368421,3.948459387381008,200,10,190,0.05,1.0,3.7747510679367045,215,25,190,0.11627906976744186,1.0,3.992594296742366,197,7,190,0.03553299492385787,1.0,3.7844588636447662,213,23,190,0.107981220657277,1.0,12.949999
gaussian,gaussian,500,120,120,0.65,20,3,197,10,187,182,0,182,0.050761421319796954,0.9842105263157894,0.0,0.9578947368421052,205,16,189,186,1,185,0.07804878048780488,0.9947368421052631,0.005376344086021506,0.9736842105263158,3.9471424921242995,201,11,190,0.05472636815920398,1.0,3.7662394744858916,207,17,190,0.0821256038647343,1.0,4.004791520983856,199,9,190,0.04522613065326633,1.0,3.809052133620947,205,15,190,0.07317073170731707,1.0,11.815791
gaussian,gaussian,500,120,120,0.65,20,4,197,17,180,166,2,164,0.08629441624365482,0.9473684210526315,0.012048192771084338,0.8631578947368421,213,29,184,172,3,169,0.13615023474178403,0.968421052631579,0.01744186046511628,0.8894736842105263,3.9520439522898405,207,18,189,0.08695652173913043,0.9947368421052631,3.770215380292207,218,29,189,0.13302752293577982,0.9947368421052631,4.006103525626736,202,13,189,0.06435643564356436,0.9947368421052631,3.822215194303636,215,26,189,0.12093023255813953,0.9947368421052631,11.950064
gaussian,gaussian,500,120,120,0.65,20,5,193,9,184,166,0,166,0.046632124352331605,0.968421052631579,0.0,0.8736842105263158,211,25,186,170,1,169,0.11848341232227488,0.9789473684210527,0.0058823529411764705,0.8894736842105263,3.9537775653790557,202,12,190,0.0594059405940594,1.0,3.7558533456704875,217,27,190,0.12442396313364056,1.0,4.022338392690986,200,10,190,0.05,1.0,3.8112136607860974,211,21,190,0.0995260663507109,1.0,11.724328
gaussian,gaussian,500,120,120,0.65,20,6,192,4,188,184,0,184,0.020833333333333332,0.9894736842105263,0.0,0.968421052631579,204,14,190,186,1,185,0.06862745098039216,1.0,0.005376344086021506,0.9736842105263158,4.08235616545778,194,4,190,0.020618556701030927,1.0,3.781422843881319,205,15,190,0.07317073170731707,1.0,4.08235616545778,194,4,190,0.020618556701030927,1.0,3.8448183663858733,198,8,190,0.04040404040404041,1.0,11.892338
gaussian,gaussian,500,120,120,0.65,20,7,202,12,190,185,0,185,0.0594059405940594,1.0,0.0,0.9736842105263158,213,23,190,188,0,188,0.107981220657277,1.0,0.0,0.9894736842105263,3.9585517519270152,201,11,190,0.05472636815920398,1.0,3.7671972004603433,213,23,190,0.107981220657277,1.0,4.033883008837754,198,8,190,0.04040404040404041,1.0,3.7997677330626782,209,19,190,0.09090909090909091,1.0,11.96788
gaussian,gaussian,500,120,120,0.65,20,8,204,16,188,174,2,172,0.0784313725490196,0.9894736842105263,0.011494252873563218,0.9052631578947369,213,23,190,180,2,178,0.107981220657277,1.0,0.011111111111111112,0.9368421052631579,3.9483888815506507,205,15,190,0.07317073170731707,1.0,3.7651321735031695,214,24,190,0.11214953271028037,1.0,3.996841072718548,199,9,190,0.04522613065326633,1.0,3.786456206379866,210,20,190,0.09523809523809523,1.0,11.899665
gaussian,gaussian,500,120,120,0.65,20,9,200,13,187,170,1,169,0.065,0.9842105263157894,0.0058823529411764705,0.8894736842105263,213,24,189,176,2,174,0.11267605633802817,0.9947368421052631,0.011363636363636364,0.9157894736842105,3.9407459161357252,204,14,190,0.06862745098039216,1.0,3.7596811709177427,215,25,190,0.11627906976744186,1.0,4.126981856585253,195,5,190,0.02564102564102564,1.0,3.800428705167048,212,22,190,0.10377358490566038,1.0,11.774275
gaussian,gaussian,500,120,120,0.65,20,10,207,17,190,189,1,188,0.0821256038647343,1.0,0.005291005291005291,0.9894736842105263,216,26,190,189,1,188,0.12037037037037036,1.0,0.005291005291005291,0.9894736842105263,3.951053135685772,207,17,190,0.0821256038647343,1.0,3.7545603244802144,217,27,190,0.12442396313364056,1.0,3.971864723067272,205,15,190,0.07317073170731707,1.0,3.7868537577388457,216,26,190,0.12037037037037036,1.0,11.674134
gaussian,gaussian,500,120,120,0.65,20,11,196,13,183,158,0,158,0.0663265306122449,0.9631578947368421,0.0,0.8315789473684211,211,26,185,173,1,172,0.12322274881516587,0.9736842105263158,0.005780346820809248,0.9052631578947369,3.9731588118172696,200,12,188,0.06,0.9894736842105263,3.7702166428982515,214,26,188,0.12149532710280374,0.9894736842105263,4.045201241850364,197,9,188,0.04568527918781726,0.9894736842105263,3.8073493254712543,213,25,188,0.11737089201877934,0.9894736842105263,11.952491
gaussian,gaussian,500,120,120,0.65,20,12,190,7,183,169,0,169,0.03684210526315789,0.9631578947368421,0.0,0.8894736842105263,205,20,185,176,0,176,0.0975609756097561,0.9736842105263158,0.0,0.9263157894736842,3.95791132469949,198,8,190,0.04040404040404041,1.0,3.774913918404415,213,23,190,0.107981220657277,1.0,4.005224277320459,196,6,190,0.030612244897959183,1.0,3.8229500767462268,210,20,190,0.09523809523809523,1.0,11.958966
