model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,t_lctb_0.05_B200,R_lctb_0.05_B200,fdp_lctb_0.05_B200,any_reject_lctb_0.05_B200,R_over_M_lctb_0.05_B200,t_lctb_0.10_B200,R_lctb_0.10_B200,fdp_lctb_0.10_B200,any_reject_lctb_0.10_B200,R_over_M_lctb_0.10_B200,lctb_B200_wall_time_s,wall_time_s
exp,exp,250,80,80,0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9327313920000506,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5206566750000547,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0195665550002104,4.50615899599984
exp,exp,250,80,80,1,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0981027440000162,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4105335649999233,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9711757099998977,4.494633731000022
exp,exp,250,80,80,2,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,3.6028497570571902,3,1.0,1,9.63855421686747e-05,0.9696535969999331,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3790014600001541,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.201333959000067,4.564752810000073
exp,exp,250,80,80,3,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8536789289998978,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4718318459999864,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.157748371000025,4.497989468000014
exp,exp,250,80,80,4,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,4.435507267654198,1,1.0,1,3.21285140562249e-05,0.8473705960000188,inf,0,0.0,0,0.0,4.435507267654198,1,1.0,1,3.21285140562249e-05,1.3829175089999808,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.3401736960001926,4.5852763590000905
exp,exp,250,80,80,5,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8523035759999402,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.286082503000216,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.168672706000052,4.321805867999956
exp,exp,250,80,80,6,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9741204059998836,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3817887380000684,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.135343448999947,4.506082149999884
exp,exp,250,80,80,7,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9152916499999719,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5773038679999445,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0729712799998197,4.583260572999961
exp,exp,250,80,80,8,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8711785890000101,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3139937999999347,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1405939339999804,4.340901099000121
exp,exp,250,80,80,9,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9924854509999932,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.289927809999881,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2566196440000112,4.595185236000134
exp,exp,250,80,80,10,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9220141319999584,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.335850511999979,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9874500720000015,4.260446256000023
exp,exp,250,80,80,11,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9453006589999404,inf,0,0.0,0,0.0,4.343764956847909,1,1.0,1,3.21285140562249e-05,1.4025281360000008,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0615724060000957,4.424458281999932
exp,exp,250,80,80,12,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9402381740001147,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.410293928000101,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9929154110000127,4.358051531000001
exp,exp,250,80,80,13,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8829734169999028,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3487867009998808,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1875018810001166,4.434293461999914
exp,exp,250,80,80,14,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8607446169999093,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4443467300000066,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.088911479999979,4.409003171999984
exp,exp,250,80,80,15,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9308777799999461,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2627676829999928,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0420999640000446,4.251287681999884
exp,exp,250,80,80,16,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9540453059998981,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4042043930001,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1822718270000223,4.559942430000092
exp,exp,250,80,80,17,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9313206520000676,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3989455589999125,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9437300710001182,4.288786366000068
exp,exp,250,80,80,18,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9268829380000625,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4379857559999891,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.272943092000105,4.652833071000032
exp,exp,250,80,80,19,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9323028459998568,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3526453250001396,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1048511389999476,4.40571593300001
exp,exp,250,80,80,20,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9033263880000959,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3893306570000732,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0849622270000054,4.392360313000154
exp,exp,250,80,80,21,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9087243339999986,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5242182819999925,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.064533456999925,4.512618955000107
exp,exp,250,80,80,22,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.909356131000095,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3215236930000174,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0755423219998193,4.321216456999991
exp,exp,250,80,80,23,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.860670766000112,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.336957466000058,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2726704269998663,4.485043399000006
