model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,t_lctb_0.05_B200,R_lctb_0.05_B200,fdp_lctb_0.05_B200,any_reject_lctb_0.05_B200,R_over_M_lctb_0.05_B200,t_lctb_0.10_B200,R_lctb_0.10_B200,fdp_lctb_0.10_B200,any_reject_lctb_0.10_B200,R_over_M_lctb_0.10_B200,lctb_B200_wall_time_s,wall_time_s
gaussian,gaussian,250,80,80,0,5.036902467315898,1,1.0,1,3.21285140562249e-05,5.036902467315898,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0080378879999898,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3678722599997855,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2198707570000806,4.904760589000034
gaussian,gaussian,250,80,80,1,4.983116040222883,1,1.0,1,3.21285140562249e-05,4.983116040222883,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9770468759998039,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3731091289998858,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.333136464000063,4.722913559000062
gaussian,gaussian,250,80,80,2,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0818478909998248,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4068587969998134,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1913291569999274,4.794689415999983
gaussian,gaussian,250,80,80,3,5.2445378011394626,1,1.0,1,3.21285140562249e-05,4.364166049923375,4,1.0,1,0.0001285140562248996,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9600533560001168,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4910035119999066,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.4751312710000093,4.962120013000003
gaussian,gaussian,250,80,80,4,4.808544158788624,1,1.0,1,3.21285140562249e-05,4.808544158788624,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0422773190000498,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4794832900001893,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.3350609330000225,4.892131595999899
gaussian,gaussian,250,80,80,5,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0675868959999661,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5110045870001159,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.391947516000073,5.174610225000151
gaussian,gaussian,250,80,80,6,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9397739270000329,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5755549749999318,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.25305470100011,4.8036384340000495
gaussian,gaussian,250,80,80,7,5.668994598430799,1,1.0,1,3.21285140562249e-05,5.668994598430799,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0124024219999228,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3427460440000232,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.445923236999988,4.851923553000006
gaussian,gaussian,250,80,80,8,4.981865175539635,1,1.0,1,3.21285140562249e-05,4.981865175539635,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0610498529999859,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3430285800000092,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2180057019998003,4.657341072000008
gaussian,gaussian,250,80,80,9,4.9643030944822035,1,1.0,1,3.21285140562249e-05,4.9643030944822035,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9940252070000497,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3801252850000765,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1520397419999426,4.6204272269999365
gaussian,gaussian,250,80,80,10,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.1537293549999958,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5741460100000495,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2700809509999544,5.037026106999974
gaussian,gaussian,250,80,80,11,inf,0,0.0,0,0.0,4.427392308512735,3,1.0,1,9.63855421686747e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0954247189999933,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5147460059999958,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1582031420000476,4.807835819000047
gaussian,gaussian,250,80,80,12,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9831129869999131,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.7300450889999865,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.074599428000056,4.823071265999943
gaussian,gaussian,250,80,80,13,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9365012499999921,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4147347719999743,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.3250867550000294,4.7141779649998625
gaussian,gaussian,250,80,80,14,4.918060457761163,2,1.0,1,6.42570281124498e-05,4.918060457761163,2,1.0,1,6.42570281124498e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8968106980000812,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.6003574510000362,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1546095740000055,4.681286537999995
