model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,t_lctb_0.05_B200,R_lctb_0.05_B200,fdp_lctb_0.05_B200,any_reject_lctb_0.05_B200,R_over_M_lctb_0.05_B200,t_lctb_0.10_B200,R_lctb_0.10_B200,fdp_lctb_0.10_B200,any_reject_lctb_0.10_B200,R_over_M_lctb_0.10_B200,lctb_B200_wall_time_s,wall_time_s
laplace,laplace,250,80,80,0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,3.8867443301407913,1,1.0,1,3.21285140562249e-05,0.9895830180000758,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3904035969999313,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2552624439999818,4.651280337000117
laplace,laplace,250,80,80,1,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8777414459998454,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3789172029999008,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0110865290000675,4.285949916000163
laplace,laplace,250,80,80,2,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9744279919998462,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4654640929998095,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1470415740000135,4.602818562000039
laplace,laplace,250,80,80,3,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8901055759999963,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.445598904999997,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0573609450000276,4.409788018999961
laplace,laplace,250,80,80,4,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8190694330000952,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3467968200000087,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.3024731289999636,4.484049648999871
laplace,laplace,250,80,80,5,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8363042089999908,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2294174500000281,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.154001854999933,4.235399097000027
laplace,laplace,250,80,80,6,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,3.719691065744044,1,1.0,1,3.21285140562249e-05,0.931699541999933,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2359193480001522,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.12795473999995,4.311433715000021
laplace,laplace,250,80,80,7,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9592903929999466,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4168362909999814,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.475652782999987,4.89805959399996
laplace,laplace,250,80,80,8,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8821462819998942,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.400255677999894,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0104340460000003,4.3085416559999885
laplace,laplace,250,80,80,9,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9403364470001634,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4666008879999026,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.214551971999981,4.712169569000025
laplace,laplace,250,80,80,10,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8785286199999973,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.391841943999907,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1213421649999873,4.408075173000043
laplace,laplace,250,80,80,11,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8176987060001011,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.427015651999909,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2263952269997844,4.486813550000079
laplace,laplace,250,80,80,12,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8735383270000057,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3768447449999712,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.141768232000004,4.423383619000106
laplace,laplace,250,80,80,13,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8757741940000869,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3736073279999346,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2746888879999005,4.540547416999971
laplace,laplace,250,80,80,14,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8218385109998962,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3501158779999969,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.334042382000007,4.521930455000074
laplace,laplace,250,80,80,15,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8261165229998824,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.256938128999991,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.3759308000001056,4.474735022999994
laplace,laplace,250,80,80,16,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9820148539999991,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3505851029999576,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0982926560000124,4.4568435139999565
laplace,laplace,250,80,80,17,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2092737689999922,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.250909006000029,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0560051209999983,4.531770236000057
laplace,laplace,250,80,80,18,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8591512880000209,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.558839664000061,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0048081590000493,4.438551657000062
laplace,laplace,250,80,80,19,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8059018700000706,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3331815449998885,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1310637770000085,4.285635687000195
laplace,laplace,250,80,80,20,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8374121009999271,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3689229619999423,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.202816974999905,4.424576673000047
laplace,laplace,250,80,80,21,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8955503189999945,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3098045220001495,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1005478160000166,4.3277677960002165
laplace,laplace,250,80,80,22,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8450367699999788,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3015578639999603,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.127471382000067,4.289616726000077
laplace,laplace,250,80,80,23,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,3.862650660319703,1,1.0,1,3.21285140562249e-05,0.8333533290001469,inf,0,0.0,0,0.0,3.862650660319703,1,1.0,1,3.21285140562249e-05,1.4460608849999517,inf,0,0.0,0,0.0,3.862650660319703,1,1.0,1,3.21285140562249e-05,2.101011713999924,4.39605810199987
laplace,laplace,250,80,80,24,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8461803039999722,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3195253190001495,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.05966476399999,4.240883537999935
laplace,laplace,250,80,80,25,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8581961110000975,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2792883820000043,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1559498219999114,4.343247575000078
laplace,laplace,250,80,80,26,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9510014130000854,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3733048209999197,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0028204749999077,4.34355273999995
laplace,laplace,250,80,80,27,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8143837909999547,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.389459708000004,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0860482099999444,4.305395663000127
laplace,laplace,250,80,80,28,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9536358959999234,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2491777260001982,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.220256782999968,4.457178983000176
laplace,laplace,250,80,80,29,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8517172430001665,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2960689369999727,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1791020670000307,4.342617130000008
