model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,t_lctb_0.05_B200,R_lctb_0.05_B200,fdp_lctb_0.05_B200,any_reject_lctb_0.05_B200,R_over_M_lctb_0.05_B200,t_lctb_0.10_B200,R_lctb_0.10_B200,fdp_lctb_0.10_B200,any_reject_lctb_0.10_B200,R_over_M_lctb_0.10_B200,lctb_B200_wall_time_s,wall_time_s
nmix,nmix,250,80,80,0,4.647373428908929,5,1.0,1,0.0001606425702811245,4.2746786013698035,7,1.0,1,0.0002248995983935743,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4097931419996712,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.012688965000052,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.3600091280000015,5.800788524999916
nmix,nmix,250,80,80,1,4.79331361007594,4,1.0,1,0.0001285140562248996,4.426822880107811,5,1.0,1,0.0001606425702811245,6.47465456548702,1,1.0,1,3.21285140562249e-05,6.47465456548702,1,1.0,1,3.21285140562249e-05,1.227695828999913,6.47465456548702,1,1.0,1,3.21285140562249e-05,6.47465456548702,1,1.0,1,3.21285140562249e-05,1.2950521900002059,inf,0,0.0,0,0.0,6.47465456548702,1,1.0,1,3.21285140562249e-05,2.458247336000113,5.139707586000441
nmix,nmix,250,80,80,2,5.082638320937371,4,1.0,1,0.0001285140562248996,5.082638320937371,4,1.0,1,0.0001285140562248996,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0253113000003395,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2807728679999855,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2030041170000914,4.525018273000114
nmix,nmix,250,80,80,3,4.5609714742264345,7,1.0,1,0.0002248995983935743,4.142615571974292,11,1.0,1,0.0003534136546184739,6.40520124024257,3,1.0,1,9.63855421686747e-05,6.40520124024257,3,1.0,1,9.63855421686747e-05,1.0382317419998799,6.40520124024257,3,1.0,1,9.63855421686747e-05,6.40520124024257,3,1.0,1,9.63855421686747e-05,1.6029989009998644,6.40520124024257,3,1.0,1,9.63855421686747e-05,6.40520124024257,3,1.0,1,9.63855421686747e-05,2.170205435999833,4.867913600000065
nmix,nmix,250,80,80,4,4.611159437817592,4,1.0,1,0.0001285140562248996,4.611159437817592,4,1.0,1,0.0001285140562248996,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2960812340002121,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4223143439999149,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1769294710002214,4.925927793000028
nmix,nmix,250,80,80,5,4.751277941802881,2,1.0,1,6.42570281124498e-05,4.751277941802881,2,1.0,1,6.42570281124498e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0001901699997688,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3686062380002113,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1111480569998093,4.492439530999945
nmix,nmix,250,80,80,6,4.4961086269564055,7,1.0,1,0.0002248995983935743,4.2117033068150675,8,1.0,1,0.0002570281124497992,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.085335866999685,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5110695849998592,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.107723798999814,4.716994958000214
nmix,nmix,250,80,80,7,4.468472046710711,7,1.0,1,0.0002248995983935743,4.246554109092796,8,1.0,1,0.0002570281124497992,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0068302150002637,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4078223259998595,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.194158375999905,4.622109338999962
nmix,nmix,250,80,80,8,4.722088818247816,3,1.0,1,9.63855421686747e-05,4.3955548641080515,4,1.0,1,0.0001285140562248996,inf,0,0.0,0,0.0,6.345520074213006,1,1.0,1,3.21285140562249e-05,0.9003601659997003,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5912431550000292,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.227957306999997,4.732333444000233
nmix,nmix,250,80,80,9,4.510804454750546,5,1.0,1,0.0001606425702811245,4.239253786443378,7,1.0,1,0.0002248995983935743,inf,0,0.0,0,0.0,6.6577644860689364,1,1.0,1,3.21285140562249e-05,0.8824771059998966,inf,0,0.0,0,0.0,6.6577644860689364,1,1.0,1,3.21285140562249e-05,1.4902229269996496,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1297822749997977,4.521229044999927
nmix,nmix,250,80,80,10,5.7331025341944075,1,1.0,1,3.21285140562249e-05,5.7331025341944075,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.980592592999983,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4282282220001434,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.3303925569998682,4.752127779000148
nmix,nmix,250,80,80,11,4.305402338010489,13,1.0,1,0.0004176706827309237,4.10308302062321,17,1.0,1,0.0005461847389558233,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9878346269997564,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4041738020000594,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.20508059399981,4.610063253000135
nmix,nmix,250,80,80,12,5.084679499241112,2,1.0,1,6.42570281124498e-05,5.084679499241112,2,1.0,1,6.42570281124498e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9679398099997343,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4186187830000563,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.4373438689999603,4.836837778999779
nmix,nmix,250,80,80,13,4.614867894426421,4,1.0,1,0.0001285140562248996,4.614867894426421,4,1.0,1,0.0001285140562248996,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8850877069999115,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.383759308000208,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.504730290000225,4.787019385000349
nmix,nmix,250,80,80,14,4.445780095110219,8,1.0,1,0.0002570281124497992,4.445780095110219,8,1.0,1,0.0002570281124497992,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8867363790000127,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4345038639999075,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.3630617339999844,4.707152702999792
nmix,nmix,250,80,80,15,4.2859006289522075,12,1.0,1,0.0003855421686746988,4.05611867050999,17,1.0,1,0.0005461847389558233,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.090669403999982,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3970184680001694,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0769863220002662,4.591966197000147
nmix,nmix,250,80,80,16,4.941038365095374,2,1.0,1,6.42570281124498e-05,4.941038365095374,2,1.0,1,6.42570281124498e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0520697779998045,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3353721809999115,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.964220897999894,4.365979348999645
nmix,nmix,250,80,80,17,4.696699985066478,5,1.0,1,0.0001606425702811245,4.696699985066478,5,1.0,1,0.0001606425702811245,8.020580211887305,1,1.0,1,3.21285140562249e-05,8.020580211887305,1,1.0,1,3.21285140562249e-05,1.057032356000036,8.020580211887305,1,1.0,1,3.21285140562249e-05,8.020580211887305,1,1.0,1,3.21285140562249e-05,1.5752893140002016,8.020580211887305,1,1.0,1,3.21285140562249e-05,8.020580211887305,1,1.0,1,3.21285140562249e-05,2.16585611399978,4.810870638000324
nmix,nmix,250,80,80,18,inf,0,0.0,0,0.0,4.570410028721134,2,1.0,1,6.42570281124498e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9502487580002708,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.512412870999924,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0700220569997327,4.545667040999888
nmix,nmix,250,80,80,19,4.685818040470732,3,1.0,1,9.63855421686747e-05,4.685818040470732,3,1.0,1,9.63855421686747e-05,inf,0,0.0,0,0.0,6.454889736620541,1,1.0,1,3.21285140562249e-05,0.9019541429997844,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5414959419999832,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.289344481000171,4.753336418999879
nmix,nmix,250,80,80,20,4.930338781006541,4,1.0,1,0.0001285140562248996,4.284260842755402,8,1.0,1,0.0002570281124497992,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9168884690002415,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5081278190000376,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.178189457999906,4.615949846000149
nmix,nmix,250,80,80,21,4.492206029430508,5,1.0,1,0.0001606425702811245,4.359881604626027,6,1.0,1,0.0001927710843373494,inf,0,0.0,0,0.0,6.195142332463888,2,1.0,1,6.42570281124498e-05,0.9214153629995963,inf,0,0.0,0,0.0,6.842312862374134,1,1.0,1,3.21285140562249e-05,1.4754114140000638,inf,0,0.0,0,0.0,6.842312862374134,1,1.0,1,3.21285140562249e-05,2.2541373009999006,4.6635447539997585
