model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,t_lctb_0.05_B200,R_lctb_0.05_B200,fdp_lctb_0.05_B200,any_reject_lctb_0.05_B200,R_over_M_lctb_0.05_B200,t_lctb_0.10_B200,R_lctb_0.10_B200,fdp_lctb_0.10_B200,any_reject_lctb_0.10_B200,R_over_M_lctb_0.10_B200,lctb_B200_wall_time_s,wall_time_s
t_cl,t_cl,250,80,80,0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,4.465206977313067,1,1.0,1,3.21285140562249e-05,1.0741379820001384,inf,0,0.0,0,0.0,4.465206977313067,1,1.0,1,3.21285140562249e-05,2.339134331999958,4.465206977313067,1,1.0,1,3.21285140562249e-05,4.465206977313067,1,1.0,1,3.21285140562249e-05,2.021642372000315,5.467841642000167
t_cl,t_cl,250,80,80,1,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9669793729999583,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3306679850002183,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.3674716719997377,4.679203568000048
t_cl,t_cl,250,80,80,2,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9598954779999076,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.274868985000012,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.344214516000193,4.592861141999947
t_cl,t_cl,250,80,80,3,5.249126267849615,1,1.0,1,3.21285140562249e-05,5.249126267849615,1,1.0,1,3.21285140562249e-05,5.249126267849615,1,1.0,1,3.21285140562249e-05,4.263044358832664,2,1.0,1,6.42570281124498e-05,1.0139234069997656,4.263044358832664,2,1.0,1,6.42570281124498e-05,4.263044358832664,2,1.0,1,6.42570281124498e-05,1.2129382990001432,5.249126267849615,1,1.0,1,3.21285140562249e-05,4.263044358832664,2,1.0,1,6.42570281124498e-05,2.4800187890000416,4.721144357999947
t_cl,t_cl,250,80,80,4,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0485263840000698,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.20814884299989,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.22570034499995,4.496657818999665
t_cl,t_cl,250,80,80,5,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0471074600000065,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2532355560001633,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.172594725000181,4.500885705999735
t_cl,t_cl,250,80,80,6,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.091476283999782,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3764091999996708,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0796603050002886,4.561677445999976
t_cl,t_cl,250,80,80,7,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0238483329999326,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.254545469000277,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.196404325000003,4.488659390000066
t_cl,t_cl,250,80,80,8,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0304236310003034,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4402321200000188,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.296641323000131,4.78121821700006
t_cl,t_cl,250,80,80,9,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.035836245000155,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2713684610002929,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.182663436999974,4.50392988800013
