model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,t_lctb_0.05_B200,R_lctb_0.05_B200,fdp_lctb_0.05_B200,any_reject_lctb_0.05_B200,R_over_M_lctb_0.05_B200,t_lctb_0.10_B200,R_lctb_0.10_B200,fdp_lctb_0.10_B200,any_reject_lctb_0.10_B200,R_over_M_lctb_0.10_B200,lctb_B200_wall_time_s,wall_time_s
t,t,250,80,80,0,4.289756820267871,12,1.0,1,0.0003855421686746988,4.155829695666399,15,1.0,1,0.00048192771084337347,7.525959823397934,1,1.0,1,3.21285140562249e-05,7.525959823397934,1,1.0,1,3.21285140562249e-05,2.7277662819999478,7.525959823397934,1,1.0,1,3.21285140562249e-05,7.525959823397934,1,1.0,1,3.21285140562249e-05,3.8810277640000095,7.525959823397934,1,1.0,1,3.21285140562249e-05,7.525959823397934,1,1.0,1,3.21285140562249e-05,7.634282465000069,14.404264355999885
t,t,250,80,80,1,4.341446662931024,12,1.0,1,0.0003855421686746988,4.0222067978767555,18,1.0,1,0.0005783132530120482,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.023080881999931,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.88448482900003,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2455231470000854,6.190724946000046
t,t,250,80,80,2,5.537165306513121,1,1.0,1,3.21285140562249e-05,4.427314016777542,3,1.0,1,9.63855421686747e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8961862169999222,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3945521480000025,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.179899434999925,4.483455779999986
t,t,250,80,80,3,4.597461392601735,3,1.0,1,9.63855421686747e-05,4.335791956593111,6,1.0,1,0.0001927710843373494,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9835578259999238,inf,0,0.0,0,0.0,6.2773524751801215,1,1.0,1,3.21285140562249e-05,1.7125955199999225,inf,0,0.0,0,0.0,6.2773524751801215,1,1.0,1,3.21285140562249e-05,2.6264420999998492,5.335613066000178
t,t,250,80,80,4,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9502481019999323,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3861552729999858,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1391111499999624,4.488512318999938
t,t,250,80,80,5,4.5708119119803765,7,1.0,1,0.0002248995983935743,4.172314938501912,10,1.0,1,0.000321285140562249,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9266085110000404,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.8158575519998976,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.5791541349999534,5.334590880000178
t,t,250,80,80,6,4.899902549500495,1,1.0,1,3.21285140562249e-05,4.899902549500495,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0971869469999547,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4429334369999651,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.189571333999993,4.748031846999993
t,t,250,80,80,7,4.917611391345364,2,1.0,1,6.42570281124498e-05,4.543564790413977,3,1.0,1,9.63855421686747e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8630891430000247,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4991419320001569,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.6859675900000184,5.061270917999991
t,t,250,80,80,8,4.4558624457018805,7,1.0,1,0.0002248995983935743,4.298823622453248,9,1.0,1,0.0002891566265060241,7.680886414802179,1,1.0,1,3.21285140562249e-05,7.680886414802179,1,1.0,1,3.21285140562249e-05,0.8331632659999286,7.680886414802179,1,1.0,1,3.21285140562249e-05,7.680886414802179,1,1.0,1,3.21285140562249e-05,1.3971220399998856,7.680886414802179,1,1.0,1,3.21285140562249e-05,7.680886414802179,1,1.0,1,3.21285140562249e-05,2.3172533540000586,4.560459689000027
t,t,250,80,80,9,3.913163705290809,61,1.0,1,0.0019598393574297187,3.687695121931696,71,1.0,1,0.002281124497991968,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.8451279160001377,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5332808819998718,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.5907245519999833,4.98176439000008
