model,x_model,p,n,rho,block,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
nmix,nmix,250,80,0.6,20,0,664,530,134,132,59,73,0.7981927710843374,0.7052631578947368,0.44696969696969696,0.38421052631578945,1292,1141,151,185,98,87,0.8831269349845201,0.7947368421052632,0.5297297297297298,0.45789473684210524,3.735192571727863,121,19,102,0.15702479338842976,0.5368421052631579,3.5227310119935606,141,30,111,0.2127659574468085,0.5842105263157895,4.888103343428781,64,2,62,0.03125,0.3263157894736842,4.017200484827123,98,8,90,0.08163265306122448,0.47368421052631576,1.4463
nmix,nmix,250,80,0.6,20,1,494,340,154,162,52,110,0.6882591093117408,0.8105263157894737,0.32098765432098764,0.5789473684210527,923,756,167,212,83,129,0.819068255687974,0.8789473684210526,0.3915094339622642,0.6789473684210526,3.660356876386678,160,14,146,0.0875,0.7684210526315789,3.4330778742239714,186,35,151,0.1881720430107527,0.7947368421052632,4.288998120381648,131,5,126,0.03816793893129771,0.6631578947368421,3.7644637235210374,156,12,144,0.07692307692307693,0.7578947368421053,1.628914
nmix,nmix,250,80,0.6,20,2,519,380,139,134,45,89,0.7321772639691715,0.7315789473684211,0.3358208955223881,0.46842105263157896,1009,854,155,181,83,98,0.846382556987116,0.8157894736842105,0.4585635359116022,0.5157894736842106,3.735440556441856,129,15,114,0.11627906976744186,0.6,3.4832468512356285,155,30,125,0.1935483870967742,0.6578947368421053,4.470707772227269,97,4,93,0.041237113402061855,0.48947368421052634,3.780135009472687,127,14,113,0.11023622047244094,0.5947368421052631,1.322967
nmix,nmix,250,80,0.6,20,3,586,417,169,183,60,123,0.71160409556314,0.8894736842105263,0.32786885245901637,0.6473684210526316,1064,885,179,241,103,138,0.831766917293233,0.9421052631578948,0.42738589211618255,0.7263157894736842,3.631701220420744,184,29,155,0.15760869565217392,0.8157894736842105,3.419602899125632,205,40,165,0.1951219512195122,0.868421052631579,4.087505645958589,154,10,144,0.06493506493506493,0.7578947368421053,3.631701220420744,184,29,155,0.15760869565217392,0.8157894736842105,1.520199
nmix,nmix,250,80,0.6,20,4,545,444,101,94,38,56,0.8146788990825689,0.531578947368421,0.40425531914893614,0.29473684210526313,1113,992,121,156,84,72,0.8912848158131177,0.6368421052631579,0.5384615384615384,0.37894736842105264,3.8949833649661922,69,5,64,0.07246376811594203,0.3368421052631579,3.652297024195627,81,12,69,0.14814814814814814,0.3631578947368421,5.524530362786584,23,1,22,0.043478260869565216,0.11578947368421053,4.687594962539434,41,2,39,0.04878048780487805,0.20526315789473684,1.404935
nmix,nmix,250,80,0.6,20,5,520,387,133,116,36,80,0.7442307692307693,0.7,0.3103448275862069,0.42105263157894735,1056,901,155,155,61,94,0.853219696969697,0.8157894736842105,0.3935483870967742,0.49473684210526314,3.757279217322041,122,17,105,0.13934426229508196,0.5526315789473685,3.521033886268387,137,24,113,0.17518248175182483,0.5947368421052631,4.670330940056205,73,2,71,0.0273972602739726,0.3736842105263158,3.960021077073741,105,11,94,0.10476190476190476,0.49473684210526314,1.515961
nmix,nmix,250,80,0.6,20,6,793,657,136,167,84,83,0.8284993694829761,0.7157894736842105,0.5029940119760479,0.4368421052631579,1428,1272,156,238,141,97,0.8907563025210085,0.8210526315789474,0.592436974789916,0.5105263157894737,3.7439439262627174,124,20,104,0.16129032258064516,0.5473684210526316,3.5221461812135604,137,26,111,0.1897810218978102,0.5842105263157895,4.909567323126623,60,4,56,0.06666666666666667,0.29473684210526313,4.020689530002577,101,13,88,0.12871287128712872,0.4631578947368421,1.363749
nmix,nmix,250,80,0.6,20,7,577,413,164,178,57,121,0.7157712305025996,0.8631578947368421,0.3202247191011236,0.6368421052631579,1055,877,178,223,92,131,0.8312796208530806,0.9368421052631579,0.4125560538116592,0.6894736842105263,3.641777688451246,173,23,150,0.1329479768786127,0.7894736842105263,3.4316604510022235,190,34,156,0.17894736842105263,0.8210526315789474,4.3440913362427915,134,7,127,0.05223880597014925,0.6684210526315789,3.761817423533857,165,20,145,0.12121212121212122,0.7631578947368421,1.639147
nmix,nmix,250,80,0.6,20,8,457,333,124,83,21,62,0.7286652078774617,0.6526315789473685,0.25301204819277107,0.3263157894736842,970,817,153,126,49,77,0.8422680412371134,0.8052631578947368,0.3888888888888889,0.4052631578947368,3.7748392500612944,105,7,98,0.06666666666666667,0.5157894736842106,3.556718670047281,117,13,104,0.1111111111111111,0.5473684210526316,4.679831272643965,69,3,66,0.043478260869565216,0.3473684210526316,4.156102974616054,89,4,85,0.0449438202247191,0.4473684210526316,1.437803
nmix,nmix,250,80,0.6,20,9,476,357,119,94,34,60,0.75,0.6263157894736842,0.3617021276595745,0.3157894736842105,1017,875,142,133,59,74,0.8603736479842674,0.7473684210526316,0.44360902255639095,0.3894736842105263,3.797586943072527,93,11,82,0.11827956989247312,0.43157894736842106,3.5964836173640404,107,17,90,0.1588785046728972,0.47368421052631576,5.2508760982013865,40,3,37,0.075,0.19473684210526315,4.2969104754823695,69,5,64,0.07246376811594203,0.3368421052631579,1.395126
nmix,nmix,250,80,0.6,20,10,715,587,128,112,57,55,0.820979020979021,0.6736842105263158,0.5089285714285714,0.2894736842105263,1364,1219,145,159,95,64,0.8936950146627566,0.7631578947368421,0.5974842767295597,0.3368421052631579,3.8773363077823353,69,5,64,0.07246376811594203,0.3368421052631579,3.595009439071352,101,18,83,0.1782178217821782,0.4368421052631579,5.27306577285301,33,1,32,0.030303030303030304,0.16842105263157894,4.554377861084363,46,1,45,0.021739130434782608,0.23684210526315788,1.452171
nmix,nmix,250,80,0.6,20,11,1018,840,178,262,120,142,0.825147347740668,0.9368421052631579,0.4580152671755725,0.7473684210526316,1825,1640,185,333,176,157,0.8986301369863013,0.9736842105263158,0.5285285285285285,0.8263157894736842,3.5897031175675793,207,37,170,0.178743961352657,0.8947368421052632,3.375273641184021,232,55,177,0.23706896551724138,0.9315789473684211,4.447576486753027,155,11,144,0.07096774193548387,0.7578947368421053,3.8018647461361477,190,24,166,0.12631578947368421,0.8736842105263158,1.507418
nmix,nmix,250,80,0.6,20,12,558,426,132,106,35,71,0.7634408602150538,0.6947368421052632,0.330188679245283,0.3736842105263158,1153,1003,150,187,90,97,0.8699045967042498,0.7894736842105263,0.48128342245989303,0.5105263157894737,3.7508666478746076,115,11,104,0.09565217391304348,0.5473684210526316,3.533813721033904,131,17,114,0.1297709923664122,0.6,4.828294414089888,62,1,61,0.016129032258064516,0.32105263157894737,4.018988721029395,105,9,96,0.08571428571428572,0.5052631578947369,1.404206
nmix,nmix,250,80,0.6,20,13,354,227,127,100,27,73,0.6412429378531074,0.6684210526315789,0.27,0.38421052631578945,746,598,148,123,40,83,0.8016085790884718,0.7789473684210526,0.3252032520325203,0.4368421052631579,3.7330761016465908,120,14,106,0.11666666666666667,0.5578947368421052,3.5065083799279075,146,26,120,0.1780821917808219,0.631578947368421,4.511278310079838,87,4,83,0.04597701149425287,0.4368421052631579,3.857839136324824,113,10,103,0.08849557522123894,0.5421052631578948,1.424099
nmix,nmix,250,80,0.6,20,14,982,828,154,202,106,96,0.8431771894093686,0.8105263157894737,0.5247524752475248,0.5052631578947369,1831,1666,165,340,220,120,0.9098853085745494,0.868421052631579,0.6470588235294118,0.631578947368421,3.7020012979138746,135,21,114,0.15555555555555556,0.6,3.488305450906975,157,35,122,0.2229299363057325,0.6421052631578947,5.10226290188225,62,2,60,0.03225806451612903,0.3157894736842105,4.151715027293046,104,9,95,0.08653846153846154,0.5,1.414959
nmix,nmix,250,80,0.6,20,15,719,595,124,133,63,70,0.827538247566064,0.6526315789473685,0.47368421052631576,0.3684210526315789,1419,1273,146,186,103,83,0.8971106412966878,0.7684210526315789,0.553763440860215,0.4368421052631579,3.7259913520922945,123,30,93,0.24390243902439024,0.48947368421052634,3.5489130012807384,129,34,95,0.26356589147286824,0.5,5.292605668779128,40,1,39,0.025,0.20526315789473684,4.220071957647871,88,13,75,0.14772727272727273,0.39473684210526316,1.912402
nmix,nmix,250,80,0.6,20,16,744,585,159,182,66,116,0.7862903225806451,0.8368421052631579,0.3626373626373626,0.6105263157894737,1411,1241,170,254,122,132,0.8795180722891566,0.8947368421052632,0.48031496062992124,0.6947368421052632,3.6858934217556247,154,13,141,0.08441558441558442,0.7421052631578947,3.4586729260816256,170,25,145,0.14705882352941177,0.7631578947368421,4.4242058191068825,116,2,114,0.017241379310344827,0.6,3.757496930803012,149,10,139,0.06711409395973154,0.7315789473684211,1.343847
nmix,nmix,250,80,0.6,20,17,540,394,146,120,37,83,0.7296296296296296,0.7684210526315789,0.30833333333333335,0.4368421052631579,1065,900,165,179,83,96,0.8450704225352113,0.868421052631579,0.46368715083798884,0.5052631578947369,3.7073285729935006,136,13,123,0.09558823529411764,0.6473684210526316,3.4845376840761224,156,23,133,0.14743589743589744,0.7,4.615401184070909,86,5,81,0.05813953488372093,0.4263157894736842,3.9063672682527146,119,10,109,0.08403361344537816,0.5736842105263158,1.433228
