file,model,p,n,rho,alpha,method,mean,se
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,-,BH,0.7852631578947369,0.022591280232807178
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,-,BY,0.5121052631578947,0.032793139504202116
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,-,LCT-B,0.8157894736842105,
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,-,LCT-N,0.9002631578947369,0.014026587338143609
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,0.05,BH,0.7089473684210527,0.027048255140358333
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,0.05,BY,0.42947368421052634,0.032971157766998146
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,0.05,LCT-B,0.7684210526315789,
power_gaussian_p250_n120_rho0.5_b20_R20.csv,gaussian,250,120,0.5,0.05,LCT-N,0.8721052631578947,0.016861571160750093
power_gaussian_p250_n120_rho0.6_b20_R20.csv,gaussian,250,120,0.6,-,BH,0.9723684210526317,0.005713107526467618
power_gaussian_p250_n120_rho0.6_b20_R20.csv,gaussian,250,120,0.6,-,BY,0.898421052631579,0.013077873011381571
power_gaussian_p250_n120_rho0.6_b20_R20.csv,gaussian,250,120,0.6,-,LCT-B,0.9736842105263158,
power_gaussian_p250_n120_rho0.6_b20_R20.csv,gaussian,250,120,0.6,-,LCT-N,0.9942105263157895,0.0017868646451933638
power_gaussian_p250_n120_rho0.6_b20_R20.csv,gaussian,250,120,0.6,0.05,BH,0.9555263157894738,0.0072795891862061915
power_gaussian_p250_n120_rho0.6_b20_R20.csv,gaussian,250,120,0.6,0.05,BY,0.8607894736842105,0.018165922188791785
power_gaussian_p250_n120_rho0.6_b20_R20.csv,gaussian,250,120,0.6,0.05,LCT-B,0.9736842105263158,
power_gaussian_p250_n120_rho0.6_b20_R20.csv,gaussian,250,120,0.6,0.05,LCT-N,0.99,0.0026426360504678945
power_gaussian_p250_n120_rho0.7_b20_R20.csv,gaussian,250,120,0.7,-,BH,0.999736842105263,0.0002631578947368374
power_gaussian_p250_n120_rho0.7_b20_R20.csv,gaussian,250,120,0.7,-,BY,0.9978947368421054,0.0007040590042736105
power_gaussian_p250_n120_rho0.7_b20_R20.csv,gaussian,250,120,0.7,-,LCT-B,1.0,
power_gaussian_p250_n120_rho0.7_b20_R20.csv,gaussian,250,120,0.7,-,LCT-N,1.0,0.0
power_gaussian_p250_n120_rho0.7_b20_R20.csv,gaussian,250,120,0.7,0.05,BH,0.9994736842105263,0.0003622353692693015
power_gaussian_p250_n120_rho0.7_b20_R20.csv,gaussian,250,120,0.7,0.05,BY,0.9955263157894738,0.0010298787504166844
