model,x_model,p,n1,n2,rho,block,seed,k_df,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
t,t,250,80,80,0.7,20,0,6,626,477,149,179,70,109,0.7619808306709265,0.7842105263157895,0.39106145251396646,0.5736842105263158,1137,975,162,254,138,116,0.8575197889182058,0.8526315789473684,0.5433070866141733,0.6105263157894737,3.66475538647835,171,33,138,0.19298245614035087,0.7263157894736842,3.419914468214445,195,53,142,0.2717948717948718,0.7473684210526316,4.670946519523584,115,8,107,0.06956521739130435,0.5631578947368421,3.900476734132701,150,20,130,0.13333333333333333,0.6842105263157895,1.263486
t,t,250,80,80,0.7,20,1,6,1035,851,184,313,156,157,0.8222222222222222,0.968421052631579,0.4984025559105431,0.8263157894736842,1780,1593,187,394,228,166,0.8949438202247191,0.9842105263157894,0.5786802030456852,0.8736842105263158,3.585848097110523,211,33,178,0.15639810426540285,0.9368421052631579,3.3551959426013456,247,64,183,0.2591093117408907,0.9631578947368421,5.005026057058995,150,8,142,0.05333333333333334,0.7473684210526316,4.132517535787116,180,17,163,0.09444444444444444,0.8578947368421053,1.466549
t,t,250,80,80,0.7,20,2,6,279,101,178,160,12,148,0.36200716845878134,0.9368421052631579,0.075,0.7789473684210526,374,192,182,177,25,152,0.5133689839572193,0.9578947368421052,0.14124293785310735,0.8,3.6082746730026836,200,16,184,0.08,0.968421052631579,3.404403354316139,217,32,185,0.14746543778801843,0.9736842105263158,3.955171408641543,187,7,180,0.0374331550802139,0.9473684210526315,3.637240760311986,198,14,184,0.0707070707070707,0.968421052631579,1.170509
t,t,250,80,80,0.7,20,3,6,369,183,186,195,23,172,0.4959349593495935,0.9789473684210527,0.11794871794871795,0.9052631578947369,512,325,187,215,38,177,0.634765625,0.9842105263157894,0.17674418604651163,0.9315789473684211,3.5976489411824257,215,27,188,0.12558139534883722,0.9894736842105263,3.3800403085321946,231,43,188,0.18614718614718614,0.9894736842105263,4.041946385917923,197,11,186,0.05583756345177665,0.9789473684210527,3.6513165379843273,212,24,188,0.11320754716981132,0.9894736842105263,1.117532
t,t,250,80,80,0.7,20,4,6,222,56,166,130,4,126,0.25225225225225223,0.8736842105263158,0.03076923076923077,0.6631578947368421,284,111,173,142,11,131,0.3908450704225352,0.9105263157894737,0.07746478873239436,0.6894736842105263,3.6345296338959754,191,13,178,0.06806282722513089,0.9368421052631579,3.4010714734922014,213,32,181,0.15023474178403756,0.9526315789473684,3.9389726287314915,180,6,174,0.03333333333333333,0.9157894736842105,3.598623697892404,195,17,178,0.08717948717948718,0.9368421052631579,1.287875
t,t,250,80,80,0.7,20,5,6,556,375,181,224,56,168,0.6744604316546763,0.9526315789473684,0.25,0.8842105263157894,1033,847,186,257,83,174,0.8199419167473379,0.9789473684210527,0.3229571984435798,0.9157894736842105,3.5934117896261095,210,28,182,0.13333333333333333,0.9578947368421052,3.4028103773112215,227,42,185,0.18502202643171806,0.9736842105263158,4.400975075695699,182,6,176,0.03296703296703297,0.9263157894736842,3.937506696507208,195,15,180,0.07692307692307693,0.9473684210526315,1.282068
t,t,250,80,80,0.7,20,6,6,420,235,185,203,30,173,0.5595238095238095,0.9736842105263158,0.1477832512315271,0.9105263157894737,690,501,189,233,52,181,0.7260869565217392,0.9947368421052631,0.22317596566523606,0.9526315789473684,3.592955654108511,207,20,187,0.0966183574879227,0.9842105263157894,3.3842873179031847,223,35,188,0.15695067264573992,0.9894736842105263,4.215719424470258,189,4,185,0.021164021164021163,0.9736842105263158,3.787375623333533,198,12,186,0.06060606060606061,0.9789473684210527,1.27774
t,t,250,80,80,0.7,20,7,6,349,159,190,206,26,180,0.45558739255014324,1.0,0.1262135922330097,0.9473684210526315,533,343,190,226,42,184,0.6435272045028143,1.0,0.18584070796460178,0.968421052631579,3.605170777654974,207,17,190,0.0821256038647343,1.0,3.3893336206279656,223,33,190,0.14798206278026907,1.0,4.064811224626974,194,5,189,0.02577319587628866,0.9947368421052631,3.741695617800144,197,7,190,0.03553299492385787,1.0,1.124184
t,t,250,80,80,0.7,20,8,6,465,299,166,168,43,125,0.6430107526881721,0.8736842105263158,0.25595238095238093,0.6578947368421053,864,686,178,204,69,135,0.7939814814814815,0.9368421052631579,0.3382352941176471,0.7105263157894737,3.6305407764637883,181,15,166,0.08287292817679558,0.8736842105263158,3.4143744638865465,204,33,171,0.16176470588235295,0.9,4.238854845485437,153,7,146,0.0457516339869281,0.7684210526315789,3.7787746020594555,172,14,158,0.08139534883720931,0.8315789473684211,1.293064
t,t,250,80,80,0.7,20,9,6,1420,1236,184,422,265,157,0.8704225352112676,0.968421052631579,0.6279620853080569,0.8263157894736842,2427,2240,187,559,394,165,0.92295014421096,0.9842105263157894,0.7048300536672629,0.868421052631579,3.532161367633882,262,88,174,0.33587786259541985,0.9157894736842105,3.286920417933813,318,139,179,0.4371069182389937,0.9421052631578948,5.122645696665837,153,24,129,0.1568627450980392,0.6789473684210526,4.267607110830947,201,45,156,0.22388059701492538,0.8210526315789474,1.225461
t,t,250,80,80,0.7,20,10,6,1303,1124,179,406,245,161,0.8626247122026094,0.9421052631578948,0.603448275862069,0.8473684210526315,2163,1978,185,540,369,171,0.9144706426259824,0.9736842105263158,0.6833333333333333,0.9,3.511349552327988,292,116,176,0.3972602739726027,0.9263157894736842,3.2879723975438107,327,150,177,0.45871559633027525,0.9315789473684211,4.933302671277703,185,41,144,0.22162162162162163,0.7578947368421053,4.124664069434393,240,73,167,0.30416666666666664,0.8789473684210526,1.577355
t,t,250,80,80,0.7,20,11,6,398,211,187,211,32,179,0.5301507537688442,0.9842105263157894,0.15165876777251186,0.9421052631578948,702,513,189,233,52,181,0.7307692307692307,0.9947368421052631,0.22317596566523606,0.9526315789473684,3.6241883178033993,207,19,188,0.09178743961352658,0.9894736842105263,3.3945156548704136,224,35,189,0.15625,0.9947368421052631,4.003659616413506,195,8,187,0.041025641025641026,0.9842105263157894,3.718072540267465,205,17,188,0.08292682926829269,0.9894736842105263,1.145972
t,t,250,80,80,0.7,20,12,6,1020,850,170,265,133,132,0.8333333333333334,0.8947368421052632,0.5018867924528302,0.6947368421052632,1790,1612,178,361,220,141,0.9005586592178771,0.9368421052631579,0.6094182825484764,0.7421052631578947,3.584733154796703,217,67,150,0.3087557603686636,0.7894736842105263,3.3437807163195794,258,102,156,0.3953488372093023,0.8210526315789474,4.854408059848188,134,15,119,0.11194029850746269,0.6263157894736842,4.098982803203222,174,32,142,0.1839080459770115,0.7473684210526316,1.188139
t,t,250,80,80,0.7,20,13,6,1017,833,184,321,156,165,0.8190757128810227,0.968421052631579,0.48598130841121495,0.868421052631579,1680,1492,188,404,235,169,0.888095238095238,0.9894736842105263,0.5816831683168316,0.8894736842105263,3.5531709534083116,242,63,179,0.2603305785123967,0.9421052631578948,3.3362041511408274,266,86,180,0.3233082706766917,0.9473684210526315,4.911071501055368,172,18,154,0.10465116279069768,0.8105263157894737,4.198779181511199,197,28,169,0.14213197969543148,0.8894736842105263,1.308327
t,t,250,80,80,0.7,20,14,6,365,188,177,175,27,148,0.5150684931506849,0.9315789473684211,0.15428571428571428,0.7789473684210526,630,447,183,205,47,158,0.7095238095238096,0.9631578947368421,0.22926829268292684,0.8315789473684211,3.599917077072842,206,25,181,0.12135922330097088,0.9526315789473684,3.3871917794201574,222,40,182,0.18018018018018017,0.9578947368421052,4.066064328980475,182,10,172,0.054945054945054944,0.9052631578947369,3.6827178451049716,199,21,178,0.10552763819095477,0.9368421052631579,1.148642
