model,p,n1,n2,rho,block,seed,k_rate,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
exp,500,120,120,0.65,20,0,1.0,189,0,189,181,0,181,0.0,0.9947368421052631,0.0,0.9526315789473684,190,0,190,187,0,187,0.0,1.0,0.0,0.9842105263157894,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,23.653238
exp,500,120,120,0.65,20,1,1.0,190,0,190,184,0,184,0.0,1.0,0.0,0.968421052631579,190,0,190,186,0,186,0.0,1.0,0.0,0.9789473684210527,4.313429170972325,42,0,42,0.0,0.22105263157894736,4.017380053197774,75,0,75,0.0,0.39473684210526316,4.204790502972125,54,0,54,0.0,0.28421052631578947,4.017380053197774,75,0,75,0.0,0.39473684210526316,24.102169
exp,500,120,120,0.65,20,2,1.0,156,0,156,103,0,103,0.0,0.8210526315789474,0.0,0.5421052631578948,163,0,163,119,0,119,0.0,0.8578947368421053,0.0,0.6263157894736842,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,23.380805
exp,500,120,120,0.65,20,3,1.0,185,0,185,181,0,181,0.0,0.9736842105263158,0.0,0.9526315789473684,186,0,186,181,0,181,0.0,0.9789473684210527,0.0,0.9526315789473684,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,23.302848
exp,500,120,120,0.65,20,4,1.0,189,0,189,187,0,187,0.0,0.9947368421052631,0.0,0.9842105263157894,190,0,190,187,0,187,0.0,1.0,0.0,0.9842105263157894,5.1436323581101036,1,0,1,0.0,0.005263157894736842,4.6006165950594,7,0,7,0.0,0.03684210526315789,4.746444312059988,5,0,5,0.0,0.02631578947368421,4.354599549853006,13,0,13,0.0,0.06842105263157895,22.805798
exp,500,120,120,0.65,20,5,1.0,189,0,189,180,0,180,0.0,0.9947368421052631,0.0,0.9473684210526315,189,0,189,182,0,182,0.0,0.9947368421052631,0.0,0.9578947368421052,5.25985993726079,2,0,2,0.0,0.010526315789473684,5.25985993726079,2,0,2,0.0,0.010526315789473684,5.25985993726079,2,0,2,0.0,0.010526315789473684,4.486005424797152,7,0,7,0.0,0.03684210526315789,23.167574
exp,500,120,120,0.65,20,6,1.0,185,0,185,161,0,161,0.0,0.9736842105263158,0.0,0.8473684210526315,188,0,188,167,0,167,0.0,0.9894736842105263,0.0,0.8789473684210526,4.422322841196252,26,0,26,0.0,0.1368421052631579,4.174909230666843,38,0,38,0.0,0.2,4.341496250247411,28,0,28,0.0,0.14736842105263157,4.154400627910183,39,0,39,0.0,0.20526315789473684,23.882749
exp,500,120,120,0.65,20,7,1.0,186,0,186,170,0,170,0.0,0.9789473684210527,0.0,0.8947368421052632,190,0,190,177,0,177,0.0,1.0,0.0,0.9315789473684211,inf,0,0,0,0.0,0.0,4.974783316499262,1,0,1,0.0,0.005263157894736842,4.974783316499262,1,0,1,0.0,0.005263157894736842,4.974783316499262,1,0,1,0.0,0.005263157894736842,22.711909
exp,500,120,120,0.65,20,8,1.0,184,0,184,161,0,161,0.0,0.968421052631579,0.0,0.8473684210526315,188,0,188,167,0,167,0.0,0.9894736842105263,0.0,0.8789473684210526,4.432178034951951,24,0,24,0.0,0.12631578947368421,4.236569579648839,31,0,31,0.0,0.1631578947368421,4.432178034951951,24,0,24,0.0,0.12631578947368421,4.135253116579562,36,0,36,0.0,0.18947368421052632,22.800758
exp,500,120,120,0.65,20,9,1.0,156,0,156,106,0,106,0.0,0.8210526315789474,0.0,0.5578947368421052,166,0,166,117,0,117,0.0,0.8736842105263158,0.0,0.6157894736842106,4.485815351434147,20,0,20,0.0,0.10526315789473684,4.2435714934800215,29,0,29,0.0,0.15263157894736842,4.423910657747007,23,0,23,0.0,0.12105263157894737,4.164594003682099,37,0,37,0.0,0.19473684210526315,22.663795
exp,500,120,120,0.65,20,10,1.0,188,0,188,176,0,176,0.0,0.9894736842105263,0.0,0.9263157894736842,189,0,189,182,0,182,0.0,0.9947368421052631,0.0,0.9578947368421052,4.5128758244290905,20,0,20,0.0,0.10526315789473684,4.192456674158377,40,0,40,0.0,0.21052631578947367,4.28656790236219,35,0,35,0.0,0.18421052631578946,4.1024660983895185,45,0,45,0.0,0.23684210526315788,23.256804
exp,500,120,120,0.65,20,11,1.0,132,0,132,55,0,55,0.0,0.6947368421052632,0.0,0.2894736842105263,146,0,146,73,0,73,0.0,0.7684210526315789,0.0,0.38421052631578945,inf,0,0,0,0.0,0.0,4.546942526015065,8,0,8,0.0,0.042105263157894736,4.656347327768859,7,0,7,0.0,0.03684210526315789,4.449298513638139,9,0,9,0.0,0.04736842105263158,23.506011
exp,500,120,120,0.65,20,12,1.0,188,0,188,179,0,179,0.0,0.9894736842105263,0.0,0.9421052631578948,188,0,188,181,0,181,0.0,0.9894736842105263,0.0,0.9526315789473684,5.1529871978147845,1,0,1,0.0,0.005263157894736842,5.1529871978147845,1,0,1,0.0,0.005263157894736842,5.1529871978147845,1,0,1,0.0,0.005263157894736842,5.1529871978147845,1,0,1,0.0,0.005263157894736842,23.171879
exp,500,120,120,0.65,20,13,1.0,175,0,175,129,0,129,0.0,0.9210526315789473,0.0,0.6789473684210526,182,0,182,144,0,144,0.0,0.9578947368421052,0.0,0.7578947368421053,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,4.8571763778633965,1,0,1,0.0,0.005263157894736842,23.298806
exp,500,120,120,0.65,20,14,1.0,188,0,188,172,0,172,0.0,0.9894736842105263,0.0,0.9052631578947369,190,0,190,178,0,178,0.0,1.0,0.0,0.9368421052631579,5.368126733743929,1,0,1,0.0,0.005263157894736842,4.435278768778605,12,0,12,0.0,0.06315789473684211,5.368126733743929,1,0,1,0.0,0.005263157894736842,4.492101289643677,11,0,11,0.0,0.05789473684210526,23.647038
