model,p,n1,n2,rho,block,seed,k_b,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
laplace,500,120,120,0.65,20,0,0.7071067811865475,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,4.255895055191774,55,0,55,0.0,0.2894736842105263,3.9951542243051383,87,0,87,0.0,0.45789473684210524,4.160314620542198,73,0,73,0.0,0.38421052631578945,3.961800192536753,88,0,88,0.0,0.4631578947368421,23.032025
laplace,500,120,120,0.65,20,1,0.7071067811865475,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,4.132544117957659,93,0,93,0.0,0.48947368421052634,3.895566931624039,123,0,123,0.0,0.6473684210526316,4.132544117957659,93,0,93,0.0,0.48947368421052634,3.891574573033998,124,0,124,0.0,0.6526315789473685,23.186177
laplace,500,120,120,0.65,20,2,0.7071067811865475,186,0,186,152,0,152,0.0,0.9789473684210527,0.0,0.8,187,0,187,156,0,156,0.0,0.9842105263157894,0.0,0.8210526315789474,4.542080223601602,15,0,15,0.0,0.07894736842105263,4.215639451413761,36,0,36,0.0,0.18947368421052632,4.542080223601602,15,0,15,0.0,0.07894736842105263,4.215639451413761,36,0,36,0.0,0.18947368421052632,22.505383
laplace,500,120,120,0.65,20,3,0.7071067811865475,190,0,190,185,0,185,0.0,1.0,0.0,0.9736842105263158,190,0,190,189,0,189,0.0,1.0,0.0,0.9947368421052631,inf,0,0,0,0.0,0.0,4.300385946825193,25,0,25,0.0,0.13157894736842105,4.616731300999742,8,0,8,0.0,0.042105263157894736,4.205619825221049,30,0,30,0.0,0.15789473684210525,22.823881
laplace,500,120,120,0.65,20,4,0.7071067811865475,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,4.202491999082604,67,0,67,0.0,0.3526315789473684,3.9547139514434066,96,0,96,0.0,0.5052631578947369,4.168919526602709,70,0,70,0.0,0.3684210526315789,3.9547139514434066,96,0,96,0.0,0.5052631578947369,24.305086
laplace,500,120,120,0.65,20,5,0.7071067811865475,189,0,189,188,0,188,0.0,0.9947368421052631,0.0,0.9894736842105263,190,0,190,188,0,188,0.0,1.0,0.0,0.9894736842105263,4.242642446104532,56,0,56,0.0,0.29473684210526313,4.008021074619545,83,0,83,0.0,0.4368421052631579,4.165666977751825,63,0,63,0.0,0.33157894736842103,3.950980023636346,90,0,90,0.0,0.47368421052631576,23.182239
laplace,500,120,120,0.65,20,6,0.7071067811865475,190,0,190,187,0,187,0.0,1.0,0.0,0.9842105263157894,190,0,190,190,0,190,0.0,1.0,0.0,1.0,4.092715078666752,107,0,107,0.0,0.5631578947368421,3.8833501105190944,133,0,133,0.0,0.7,4.092715078666752,107,0,107,0.0,0.5631578947368421,3.8833501105190944,133,0,133,0.0,0.7,23.002195
laplace,500,120,120,0.65,20,7,0.7071067811865475,190,0,190,189,0,189,0.0,1.0,0.0,0.9947368421052631,190,0,190,190,0,190,0.0,1.0,0.0,1.0,4.509114214832897,18,0,18,0.0,0.09473684210526316,4.025826510410487,73,0,73,0.0,0.38421052631578945,4.201531884502326,48,0,48,0.0,0.25263157894736843,3.9572643406071357,81,0,81,0.0,0.4263157894736842,22.800424
laplace,500,120,120,0.65,20,8,0.7071067811865475,190,0,190,189,0,189,0.0,1.0,0.0,0.9947368421052631,190,0,190,190,0,190,0.0,1.0,0.0,1.0,4.125451170608121,95,0,95,0.0,0.5,3.908908428877196,116,0,116,0.0,0.6105263157894737,4.066872985439229,102,0,102,0.0,0.5368421052631579,3.8877678883212647,120,0,120,0.0,0.631578947368421,22.4541
laplace,500,120,120,0.65,20,9,0.7071067811865475,189,0,189,169,0,169,0.0,0.9947368421052631,0.0,0.8894736842105263,190,0,190,179,0,179,0.0,1.0,0.0,0.9421052631578948,4.389219533559887,33,0,33,0.0,0.1736842105263158,4.047565999902671,71,0,71,0.0,0.3736842105263158,4.3283159881102256,36,0,36,0.0,0.18947368421052632,4.047565999902671,71,0,71,0.0,0.3736842105263158,23.75039
