model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,t_lctb_0.05_B200,R_lctb_0.05_B200,fdp_lctb_0.05_B200,any_reject_lctb_0.05_B200,R_over_M_lctb_0.05_B200,t_lctb_0.10_B200,R_lctb_0.10_B200,fdp_lctb_0.10_B200,any_reject_lctb_0.10_B200,R_over_M_lctb_0.10_B200,lctb_B200_wall_time_s,wall_time_s
exp,exp,250,80,80,0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0688499409998258,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5001628629997867,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1273791419998815,4.714102619000187
exp,exp,250,80,80,1,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9467488959999173,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3052896259996487,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.125871158999871,4.394300340999507
exp,exp,250,80,80,2,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9697884970000814,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3126277269993807,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.162160445000154,4.460881501000586
exp,exp,250,80,80,3,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0472200150006756,inf,0,0.0,0,0.0,4.389224198243362,1,1.0,1,3.21285140562249e-05,1.3142861179994725,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.7114113710003949,4.088658526000472
exp,exp,250,80,80,4,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9593022200006089,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4148724229999061,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.789163016999737,4.17906313200001
exp,exp,250,80,80,5,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9923014999994848,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.39025881499947,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.858104569999341,4.289952117000212
exp,exp,250,80,80,6,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9134440819998417,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.311316359000557,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.8142349219997413,4.0547918070005835
exp,exp,250,80,80,7,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.006486677999419,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.460640305999732,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.7828420269997878,4.265805569999429
exp,exp,250,80,80,8,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9707257159998335,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3613868720003666,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.7043397810002716,4.0538295219994325
exp,exp,250,80,80,9,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9718415970000933,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3158973839999817,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9276992499999324,4.231047835999561
