model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,wall_time_s
exp,exp,500,80,80,0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.732003563000035,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,41.753961766999055,116.00750140399941
exp,exp,500,80,80,1,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.47560449999946,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,42.11319910599923,116.5670125939996
exp,exp,500,80,80,2,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.55213945499963,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,41.993824516999666,116.70796451000024
exp,exp,500,80,80,3,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.51876840899968,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,41.17397071199957,115.10646777399961
exp,exp,500,80,80,4,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.137545846999274,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,41.999584741000945,115.48490598100034
exp,exp,500,80,80,5,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.369267637999656,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,41.70909910099908,115.23739876500076
exp,exp,500,80,80,6,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,37.926749062000454,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,42.04593634599951,115.24864696000077
exp,exp,500,80,80,7,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,37.96026863500083,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,41.59483910199924,114.87587680199977
exp,exp,500,80,80,8,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,37.88679262599908,inf,0,0.0,0,0.0,4.784790355358035,1,1.0,1,8.016032064128256e-06,42.42851698800041,115.29852691400083
exp,exp,500,80,80,9,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.48894904900044,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,42.1073430739998,115.58992951399887
