model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,t_lctb_0.05_B200,R_lctb_0.05_B200,fdp_lctb_0.05_B200,any_reject_lctb_0.05_B200,R_over_M_lctb_0.05_B200,t_lctb_0.10_B200,R_lctb_0.10_B200,fdp_lctb_0.10_B200,any_reject_lctb_0.10_B200,R_over_M_lctb_0.10_B200,lctb_B200_wall_time_s,wall_time_s
gaussian,gaussian,250,80,80,0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3265155979997871,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.856774447999669,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.163802748999842,5.383324788999744
gaussian,gaussian,250,80,80,1,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9878810050004176,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3659931239999423,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.8215361709999343,4.2056054209997455
gaussian,gaussian,250,80,80,2,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0372653659997013,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5071015670000634,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.8309648149997884,4.411455077000028
gaussian,gaussian,250,80,80,3,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.1183317059994806,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5250340430002325,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.8764764869993087,4.549809052000455
gaussian,gaussian,250,80,80,4,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9335386530001415,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4418033179999838,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0650855209996735,4.470465469999908
gaussian,gaussian,250,80,80,5,4.814109886161369,1,1.0,1,3.21285140562249e-05,4.814109886161369,1,1.0,1,3.21285140562249e-05,4.814109886161369,1,1.0,1,3.21285140562249e-05,4.814109886161369,1,1.0,1,3.21285140562249e-05,0.9341043790000185,4.814109886161369,1,1.0,1,3.21285140562249e-05,4.814109886161369,1,1.0,1,3.21285140562249e-05,1.3294028419995811,4.814109886161369,1,1.0,1,3.21285140562249e-05,4.814109886161369,1,1.0,1,3.21285140562249e-05,2.034924843999761,4.331960843000161
gaussian,gaussian,250,80,80,6,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9791261540003688,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.359863831000439,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9522507129995574,4.321509146000608
gaussian,gaussian,250,80,80,7,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.1639624079998612,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2604138750002676,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.8626806849997593,4.320059596999272
gaussian,gaussian,250,80,80,8,inf,0,0.0,0,0.0,4.68487555323859,1,1.0,1,3.21285140562249e-05,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0427393079999092,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4310123099994598,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.8325295160002497,4.336856676000025
gaussian,gaussian,250,80,80,9,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0026820100001714,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.54455368500021,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9337135880005007,4.526855839000746
