model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,wall_time_s
gaussian,gaussian,500,80,80,0,inf,0,0.0,0,0.0,5.012272647421042,1,1.0,1,8.016032064128256e-06,inf,0,0.0,0,0.0,5.012272647421042,1,1.0,1,8.016032064128256e-06,38.5319722840004,inf,0,0.0,0,0.0,5.012272647421042,1,1.0,1,8.016032064128256e-06,41.78587053699994,116.4726235829994
gaussian,gaussian,500,80,80,1,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.75748864099933,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,40.2025634190004,114.56373565600006
gaussian,gaussian,500,80,80,2,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,37.633004784999684,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,40.885550053999395,113.76270547600052
gaussian,gaussian,500,80,80,3,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,37.62171436100016,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,40.015938053000355,112.72902016699936
gaussian,gaussian,500,80,80,4,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.2278821509999,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,41.13061583000035,114.22543055499955
gaussian,gaussian,500,80,80,5,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.58636668700001,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,40.22185629799969,113.56780199900004
gaussian,gaussian,500,80,80,6,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.08686691500043,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,40.40108375900036,113.79648152800019
gaussian,gaussian,500,80,80,7,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.04467733299953,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,40.31785254599981,113.58629407699937
gaussian,gaussian,500,80,80,8,inf,0,0.0,0,0.0,5.007376763312241,1,1.0,1,8.016032064128256e-06,inf,0,0.0,0,0.0,5.007376763312241,1,1.0,1,8.016032064128256e-06,38.14544801400007,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,41.10406898200017,114.71867979999934
gaussian,gaussian,500,80,80,9,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.13735921100033,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,40.33467856700008,113.8559967379997
