model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,t_lctb_0.05_B200,R_lctb_0.05_B200,fdp_lctb_0.05_B200,any_reject_lctb_0.05_B200,R_over_M_lctb_0.05_B200,t_lctb_0.10_B200,R_lctb_0.10_B200,fdp_lctb_0.10_B200,any_reject_lctb_0.10_B200,R_over_M_lctb_0.10_B200,lctb_B200_wall_time_s,wall_time_s
laplace,laplace,250,80,80,0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0447904840002593,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3200450979993548,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.106150966000314,4.488496697999835
laplace,laplace,250,80,80,1,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0144053109997913,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3969655019991478,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.8300555209998493,4.2586745369999335
laplace,laplace,250,80,80,2,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.944609242000297,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5366193050003858,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1686501410003984,4.669811337999818
laplace,laplace,250,80,80,3,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9571417280003516,inf,0,0.0,0,0.0,4.475249792860817,1,1.0,1,3.21285140562249e-05,1.4388589740001407,inf,0,0.0,0,0.0,4.475249792860817,1,1.0,1,3.21285140562249e-05,2.003025763999176,4.416413306999857
laplace,laplace,250,80,80,4,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0173264969998854,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2860361249995549,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1327694450001218,4.47179640000013
laplace,laplace,250,80,80,5,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0300598880003236,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.394736868000109,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0348320279999825,4.476844836000055
laplace,laplace,250,80,80,6,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0663751319998482,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3073047560001214,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9191339039998638,4.309610432000227
laplace,laplace,250,80,80,7,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0088578730001245,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3772415250004997,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.993646588000047,4.417696653000348
laplace,laplace,250,80,80,8,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,4.59947820879008,1,1.0,1,3.21285140562249e-05,1.010563390000243,4.59947820879008,1,1.0,1,3.21285140562249e-05,4.59947820879008,1,1.0,1,3.21285140562249e-05,1.310631540999566,4.59947820879008,1,1.0,1,3.21285140562249e-05,4.59947820879008,1,1.0,1,3.21285140562249e-05,2.6775552540002536,5.016353909999452
laplace,laplace,250,80,80,9,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.1997976780003228,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4750668650003718,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.244168470999284,5.0943356240004505
laplace,laplace,250,80,80,10,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.037714713999776,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2623607149998861,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2176362519994655,4.5405183800003215
laplace,laplace,250,80,80,11,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9840409440002986,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3490590179999344,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.105832040000678,4.455981492999854
laplace,laplace,250,80,80,12,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0943664630003695,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3021851599996808,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9716702259993326,4.3852029720001156
laplace,laplace,250,80,80,13,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9963097559993912,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4420861159997003,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0668394169997555,4.522328191999804
laplace,laplace,250,80,80,14,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9563252359994294,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5492475999999442,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.032167338000363,4.562219712999649
laplace,laplace,250,80,80,15,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9725629300000946,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3195634040002915,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1013189000004786,4.4105813070000295
laplace,laplace,250,80,80,16,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9206269819997033,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.354026201999659,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1109247779995712,4.402611042999524
laplace,laplace,250,80,80,17,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,4.434181818585616,1,1.0,1,3.21285140562249e-05,1.073885834000066,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3622453660000247,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.974576165000144,4.427702093999869
laplace,laplace,250,80,80,18,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0150979609998103,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4460349529999803,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1182940929993492,4.597901516000093
laplace,laplace,250,80,80,19,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9845081249995928,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.303076117999808,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.978070271999968,5.283072133999667
laplace,laplace,250,80,80,20,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9772632700005488,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.677247059000365,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2058129970000664,4.877380611000262
laplace,laplace,250,80,80,21,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,4.430253717642592,1,1.0,1,3.21285140562249e-05,0.9173533640005189,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4635509230001844,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.158481584000583,4.556484513000214
laplace,laplace,250,80,80,22,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.942592680999951,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.8744084319996546,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1613748210002086,4.9966394000002765
laplace,laplace,250,80,80,23,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.1452561259993672,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.317103981999935,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0009789639998417,4.480971019999743
laplace,laplace,250,80,80,24,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.1343611669999518,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3018387900001471,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.7234204520000276,4.17640197000037
laplace,laplace,250,80,80,25,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.04469547699955,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5383104679995085,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.7573892319996958,4.357588184000633
