model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,t_lctb_0.05_B200,R_lctb_0.05_B200,fdp_lctb_0.05_B200,any_reject_lctb_0.05_B200,R_over_M_lctb_0.05_B200,t_lctb_0.10_B200,R_lctb_0.10_B200,fdp_lctb_0.10_B200,any_reject_lctb_0.10_B200,R_over_M_lctb_0.10_B200,lctb_B200_wall_time_s,wall_time_s
t,t,250,80,80,0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0892079459999877,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4196506059997773,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1414355619999697,4.667216978000397
t,t,250,80,80,1,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9638350630002606,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3904296939999767,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0527801660000478,4.423257604000355
t,t,250,80,80,2,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9567616100002851,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3035233029995652,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1163561699995626,4.390567497999655
t,t,250,80,80,3,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.126020227000481,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.270744071000081,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1031999480001105,4.515172534999692
t,t,250,80,80,4,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0615663580001637,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2864121359998535,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.015159765000135,4.37716027299939
t,t,250,80,80,5,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.1414579419997608,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.491391219000434,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9686641409998629,4.615838202000305
t,t,250,80,80,6,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9392138559996965,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4795908739997685,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9512251120004294,4.385382928000581
t,t,250,80,80,7,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9973108129997854,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3568072299995038,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.28762259099949,4.657547408000028
t,t,250,80,80,8,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.948804126000141,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3752699369997572,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1182139780003126,4.4687425059992165
t,t,250,80,80,9,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.1570768949995909,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.849464903999433,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.583212028000162,6.60368458100038
t,t,250,80,80,10,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9195658099997672,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4222337139999581,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.022644706000392,4.3783645449993855
t,t,250,80,80,11,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9729089599995859,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3211035139993328,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1059475160000147,4.434779416999845
t,t,250,80,80,12,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.077880212999844,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2810263900000791,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.979020245999891,4.352130742999179
t,t,250,80,80,13,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9848632050006927,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3860047030002534,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.8937576809994425,4.278896107000037
t,t,250,80,80,14,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9890394349995404,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4479749400006767,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.012888665999526,4.469294281000657
t,t,250,80,80,15,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0237091549997785,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2661390399998709,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9641487290000441,4.266869514000064
t,t,250,80,80,16,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0949488890000794,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.328197065000495,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.0945669809998435,4.530588582000746
t,t,250,80,80,17,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.073760857999332,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.416172213000209,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.7939436140004545,4.3004496370003835
t,t,250,80,80,18,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0523928949996844,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3688926520007954,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.024016784000196,4.458227579000777
t,t,250,80,80,19,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.1168453139998746,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3197667600006753,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.08099581299939,4.55449188700004
t,t,250,80,80,20,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9609238830007598,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3853165959999387,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9734302689994365,4.332453732999966
t,t,250,80,80,21,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0190820320003695,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.5442589929998576,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.8943756740000026,4.472530269000345
t,t,250,80,80,22,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.052852644000268,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.398652249999941,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.9752990950000822,4.439625846000126
t,t,250,80,80,23,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9681694049995713,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.4603969820000202,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.2156174869996903,4.658058263000385
t,t,250,80,80,24,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9928479990003325,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.3668227910002315,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.1251542809995954,4.49765695699989
t,t,250,80,80,25,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.002073525999549,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.314697255000283,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.133033004999561,4.462636031000329
t,t,250,80,80,26,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.0350014249997912,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.2559220040002401,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.976572380000107,4.280316783999297
t,t,250,80,80,27,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.050927641999806,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.350373089000641,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.018735296000159,4.434841111999958
t,t,250,80,80,28,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,0.9932949720005126,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.624288494999746,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.92249836100018,4.552826630999334
t,t,250,80,80,29,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,4.4311350555605316,1,1.0,1,3.21285140562249e-05,0.9372408389999691,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,1.359790236999288,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,2.023742633999973,4.348265223999988
