model,x_model,p,n1,n2,seed,t_lct_0.05,R_lct_0.05,fdp_lct_0.05,any_reject_lct_0.05,R_over_M_lct_0.05,t_lct_0.10,R_lct_0.10,fdp_lct_0.10,any_reject_lct_0.10,R_over_M_lct_0.10,t_lctb_0.05_B50,R_lctb_0.05_B50,fdp_lctb_0.05_B50,any_reject_lctb_0.05_B50,R_over_M_lctb_0.05_B50,t_lctb_0.10_B50,R_lctb_0.10_B50,fdp_lctb_0.10_B50,any_reject_lctb_0.10_B50,R_over_M_lctb_0.10_B50,lctb_B50_wall_time_s,t_lctb_0.05_B100,R_lctb_0.05_B100,fdp_lctb_0.05_B100,any_reject_lctb_0.05_B100,R_over_M_lctb_0.05_B100,t_lctb_0.10_B100,R_lctb_0.10_B100,fdp_lctb_0.10_B100,any_reject_lctb_0.10_B100,R_over_M_lctb_0.10_B100,lctb_B100_wall_time_s,wall_time_s
t,t,500,80,80,0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.91070440800013,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,40.81269721899935,114.83327867000025
t,t,500,80,80,1,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.71524732199941,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,40.968211200999576,115.10138318999998
t,t,500,80,80,2,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,4.865302138070157,1,1.0,1,8.016032064128256e-06,4.865302138070157,1,1.0,1,8.016032064128256e-06,38.30380799700015,4.865302138070157,1,1.0,1,8.016032064128256e-06,4.865302138070157,1,1.0,1,8.016032064128256e-06,41.27268860799995,115.17677014499986
t,t,500,80,80,3,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.164671847000136,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,41.357599279999704,115.02920261599957
t,t,500,80,80,4,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.71213099099987,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,42.79485671300063,116.95752359599919
t,t,500,80,80,5,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,38.06281930899968,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,41.4511143109994,115.2273723950002
t,t,500,80,80,6,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,39.09465941600138,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,41.66811950599913,116.32497460499872
t,t,500,80,80,7,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,64.84739682600048,inf,0,0.0,0,0.0,inf,0,0.0,0,0.0,46.30147475300146,147.03173757900004
t,t,500,80,80,8,5.487538249538259,1,1.0,1,8.016032064128256e-06,5.487538249538259,1,1.0,1,8.016032064128256e-06,5.487538249538259,1,1.0,1,8.016032064128256e-06,5.487538249538259,1,1.0,1,8.016032064128256e-06,38.52773540000089,5.487538249538259,1,1.0,1,8.016032064128256e-06,4.60625777497289,2,1.0,1,1.6032064128256513e-05,41.48414387200137,116.07598836999932
t,t,500,80,80,9,inf,0,0.0,0,0.0,5.064638725022609,1,1.0,1,8.016032064128256e-06,5.064638725022609,1,1.0,1,8.016032064128256e-06,4.652521071026122,2,1.0,1,1.6032064128256513e-05,39.0856626879995,5.064638725022609,1,1.0,1,8.016032064128256e-06,5.064638725022609,1,1.0,1,8.016032064128256e-06,41.49334899800124,116.26204271899951
