model,p,n,rho,block,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
gaussian,250,120,0.35,20,0,3,0,3,2,0,2,0.0,0.015789473684210527,0.0,0.010526315789473684,25,4,21,2,0,2,0.16,0.11052631578947368,0.0,0.010526315789473684,4.4546622490952394,7,3,4,0.42857142857142855,0.021052631578947368,4.4546622490952394,7,3,4,0.42857142857142855,0.021052631578947368,4.51990472454533,6,2,4,0.3333333333333333,0.021052631578947368,4.4546622490952394,7,3,4,0.42857142857142855,0.021052631578947368,9.72419
gaussian,250,120,0.35,20,1,6,0,6,0,0,0,0.0,0.031578947368421054,0.0,0.0,13,1,12,0,0,0,0.07692307692307693,0.06315789473684211,0.0,0.0,4.47995181842009,5,1,4,0.2,0.021052631578947368,4.340888595502275,7,1,6,0.14285714285714285,0.031578947368421054,4.658473341641172,2,0,2,0.0,0.010526315789473684,4.340888595502275,7,1,6,0.14285714285714285,0.031578947368421054,9.311008
gaussian,250,120,0.35,20,2,7,0,7,0,0,0,0.0,0.03684210526315789,0.0,0.0,19,3,16,0,0,0,0.15789473684210525,0.08421052631578947,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.146111
gaussian,250,120,0.35,20,3,6,0,6,0,0,0,0.0,0.031578947368421054,0.0,0.0,25,1,24,0,0,0,0.04,0.12631578947368421,0.0,0.0,4.804963021962766,2,0,2,0.0,0.010526315789473684,4.073378270970852,15,1,14,0.06666666666666667,0.07368421052631578,4.804963021962766,2,0,2,0.0,0.010526315789473684,4.446085559454872,3,0,3,0.0,0.015789473684210527,9.262197
gaussian,250,120,0.35,20,4,38,1,37,9,0,9,0.02631578947368421,0.19473684210526315,0.0,0.04736842105263158,52,1,51,9,0,9,0.019230769230769232,0.26842105263157895,0.0,0.04736842105263158,4.317128148928753,12,0,12,0.0,0.06315789473684211,4.031972119931561,18,0,18,0.0,0.09473684210526316,4.345077045681729,11,0,11,0.0,0.05789473684210526,4.118669301306522,16,0,16,0.0,0.08421052631578947,9.275772
gaussian,250,120,0.35,20,5,64,2,62,19,0,19,0.03125,0.3263157894736842,0.0,0.1,95,11,84,28,0,28,0.11578947368421053,0.4421052631578947,0.0,0.14736842105263157,4.135174847756359,24,1,23,0.041666666666666664,0.12105263157894737,3.803483782961095,46,4,42,0.08695652173913043,0.22105263157894736,4.336217088321077,14,0,14,0.0,0.07368421052631578,3.868809852598148,40,3,37,0.075,0.19473684210526315,8.953311
gaussian,250,120,0.35,20,6,10,1,9,0,0,0,0.1,0.04736842105263158,0.0,0.0,11,1,10,0,0,0,0.09090909090909091,0.05263157894736842,0.0,0.0,4.807458227117806,3,1,2,0.3333333333333333,0.010526315789473684,4.168715223252851,10,2,8,0.2,0.042105263157894736,4.807458227117806,3,1,2,0.3333333333333333,0.010526315789473684,4.262346758549863,9,2,7,0.2222222222222222,0.03684210526315789,9.04504
gaussian,250,120,0.35,20,7,35,0,35,12,0,12,0.0,0.18421052631578946,0.0,0.06315789473684211,50,3,47,20,0,20,0.06,0.24736842105263157,0.0,0.10526315789473684,4.14938838533244,22,0,22,0.0,0.11578947368421053,3.9191189500272765,31,2,29,0.06451612903225806,0.15263157894736842,4.177512538175143,21,0,21,0.0,0.11052631578947368,3.9522711731027793,30,2,28,0.06666666666666667,0.14736842105263157,8.896046
gaussian,250,120,0.35,20,8,5,0,5,4,0,4,0.0,0.02631578947368421,0.0,0.021052631578947368,10,0,10,4,0,4,0.0,0.05263157894736842,0.0,0.021052631578947368,4.596918944413219,3,0,3,0.0,0.015789473684210527,4.400980383409069,4,0,4,0.0,0.021052631578947368,4.846750753947802,2,0,2,0.0,0.010526315789473684,4.400980383409069,4,0,4,0.0,0.021052631578947368,9.099129
gaussian,250,120,0.35,20,9,19,0,19,0,0,0,0.0,0.1,0.0,0.0,25,1,24,5,0,5,0.04,0.12631578947368421,0.0,0.02631578947368421,4.386523976521145,10,0,10,0.0,0.05263157894736842,3.9983944784906718,20,2,18,0.1,0.09473684210526316,4.386523976521145,10,0,10,0.0,0.05263157894736842,4.043463751130757,19,1,18,0.05263157894736842,0.09473684210526316,8.981183
