model,p,n,rho,block,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
t,250,60,0.25,20,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.349795
t,250,60,0.25,20,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,8.955059
t,250,60,0.25,20,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,8.795261
t,250,60,0.25,20,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,8.873341
t,250,60,0.25,20,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,8.997597
t,250,60,0.25,20,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,9.03139
t,250,60,0.25,20,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,8.822282
t,250,60,0.25,20,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,8.779713
t,250,60,0.25,20,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,8.814096
t,250,60,0.25,20,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,inf,0,0,0,0.0,0.0,8.679121
