model,p,n1,n2,rho,block,seed,k_df,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
t,500,120,120,0.65,20,0,6,189,0,189,181,0,181,0.0,0.9947368421052631,0.0,0.9526315789473684,190,0,190,186,0,186,0.0,1.0,0.0,0.9789473684210527,4.202720832163674,69,0,69,0.0,0.3631578947368421,3.9367327603998072,104,0,104,0.0,0.5473684210526316,4.103878514363644,77,0,77,0.0,0.4052631578947368,3.8333554233220024,121,0,121,0.0,0.6368421052631579,23.350462
t,500,120,120,0.65,20,1,6,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,4.049315417599302,137,0,137,0.0,0.7210526315789474,3.835719872572922,158,0,158,0.0,0.8315789473684211,4.020932285928253,139,0,139,0.0,0.7315789473684211,3.835719872572922,158,0,158,0.0,0.8315789473684211,24.054201
t,500,120,120,0.65,20,2,6,186,0,186,174,0,174,0.0,0.9789473684210527,0.0,0.9157894736842105,188,0,188,176,0,176,0.0,0.9894736842105263,0.0,0.9263157894736842,inf,0,0,0,0.0,0.0,4.325792512270389,21,0,21,0.0,0.11052631578947368,4.800696270959099,3,0,3,0.0,0.015789473684210527,4.2801112891475865,22,0,22,0.0,0.11578947368421053,24.120867
t,500,120,120,0.65,20,3,6,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,4.1888745784936035,70,0,70,0.0,0.3684210526315789,3.94917718803963,106,0,106,0.0,0.5578947368421052,4.07479613006873,89,0,89,0.0,0.46842105263157896,3.8611246260688863,120,0,120,0.0,0.631578947368421,23.447783
t,500,120,120,0.65,20,4,6,191,1,190,190,0,190,0.005235602094240838,1.0,0.0,1.0,192,2,190,190,0,190,0.010416666666666666,1.0,0.0,1.0,inf,0,0,0,0.0,0.0,4.825661291846566,2,0,2,0.0,0.010526315789473684,inf,0,0,0,0.0,0.0,4.239448702771906,16,0,16,0.0,0.08421052631578947,23.305082
t,500,120,120,0.65,20,5,6,190,0,190,189,0,189,0.0,1.0,0.0,0.9947368421052631,190,0,190,190,0,190,0.0,1.0,0.0,1.0,4.182550805794403,73,0,73,0.0,0.38421052631578945,3.9263929636643913,109,0,109,0.0,0.5736842105263158,4.12073478153325,80,0,80,0.0,0.42105263157894735,3.8821558120157396,114,0,114,0.0,0.6,24.719156
t,500,120,120,0.65,20,6,6,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,4.045220571490639,135,0,135,0.0,0.7105263157894737,3.860042078893547,149,0,149,0.0,0.7842105263157895,3.984696487275609,140,0,140,0.0,0.7368421052631579,3.783438472233107,161,0,161,0.0,0.8473684210526315,23.40774
t,500,120,120,0.65,20,7,6,190,0,190,187,0,187,0.0,1.0,0.0,0.9842105263157894,190,0,190,188,0,188,0.0,1.0,0.0,0.9894736842105263,4.402885466479987,27,0,27,0.0,0.14210526315789473,4.118069730206248,49,0,49,0.0,0.2578947368421053,4.2070455244805345,40,0,40,0.0,0.21052631578947367,3.9264664313098585,73,0,73,0.0,0.38421052631578945,23.191503
t,500,120,120,0.65,20,8,6,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,4.068763349276251,126,0,126,0.0,0.6631578947368421,3.8422644405810837,154,0,154,0.0,0.8105263157894737,3.9799530984784557,132,0,132,0.0,0.6947368421052632,3.78539364922285,161,0,161,0.0,0.8473684210526315,23.38681
t,500,120,120,0.65,20,9,6,185,0,185,152,0,152,0.0,0.9736842105263158,0.0,0.8,187,0,187,171,0,171,0.0,0.9842105263157894,0.0,0.9,4.21653252688517,62,0,62,0.0,0.3263157894736842,3.981819557799291,91,0,91,0.0,0.4789473684210526,4.1436890963267405,73,0,73,0.0,0.38421052631578945,3.8977717819998414,100,0,100,0.0,0.5263157894736842,23.575262
t,500,120,120,0.65,20,10,6,190,0,190,190,0,190,0.0,1.0,0.0,1.0,190,0,190,190,0,190,0.0,1.0,0.0,1.0,4.0227512557781955,148,0,148,0.0,0.7789473684210526,3.8336661692514618,165,0,165,0.0,0.868421052631579,3.971282480404984,152,0,152,0.0,0.8,3.816768385770002,167,0,167,0.0,0.8789473684210526,23.713073
