                                                                        file  Avg_wall_time_s  mean_fdr_bh_0.05  mean_power_bh_0.05  mean_fdr_by_0.05  mean_power_by_0.05  mean_fdr_bh_0.1  mean_power_bh_0.1  mean_fdr_by_0.1  mean_power_by_0.1  mean_fdr_lct_0.05  mean_power_lct_0.05  mean_fdr_lct_0.1  mean_power_lct_0.1  mean_fdr_lctb_0.05_B100  mean_power_lctb_0.05_B100  mean_fdr_lctb_0.1_B100  mean_power_lctb_0.1_B100    model     p    n1    n2  rho  block  reps  mean_fdr_lct_cai_liu_0.05  mean_power_lct_cai_liu_0.05  mean_fdr_lct_cai_liu_0.1  mean_power_lct_cai_liu_0.1  mean_fdr_lct_gaussian_0.05  mean_power_lct_gaussian_0.05  mean_fdr_lct_gaussian_0.1  mean_power_lct_gaussian_0.1  mean_fdr_lct_jackknife_0.05  mean_power_lct_jackknife_0.05  mean_fdr_lct_jackknife_0.1  mean_power_lct_jackknife_0.1
                   results/tables/exp_p250_n80_80_rho0.7_b20_R20_rate1.0.csv         1.254389          0.097033            0.843421          0.012924            0.685000         0.167709           0.880526         0.022741           0.735000           0.002396             0.722632          0.004827            0.753947                 0.016917                   0.859211                0.046284                  0.881316      exp 250.0  80.0  80.0 0.70   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                results/tables/exp_p500_n120_120_rho0.65_b20_R20_rate1.0.csv        12.176160          0.105401            0.901579          0.015446            0.785000         0.179796           0.923684         0.025928           0.822368           0.000000             0.719737          0.000000            0.754737                 0.025876                   0.897105                0.061595                  0.914474      exp 500.0 120.0 120.0 0.65   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                      results/tables/gaussian_p250_n80_80_rho0.7_b20_R20.csv         1.416336          0.056261            0.937632          0.006956            0.832895         0.108477           0.959474         0.012950           0.871316           0.064592             0.990789          0.117723            0.994474                 0.044659                   0.988421                0.085795                  0.993158 gaussian 250.0  80.0  80.0 0.70   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/gaussian_p500_n120_120_rho0.65_b20_R20.csv        11.996075          0.057203            0.971579          0.003822            0.900263         0.103986           0.979211         0.006235           0.924211           0.055404             0.994211          0.104682            0.996579                 0.044086                   0.993421                0.092815                  0.996316 gaussian 500.0 120.0 120.0 0.65   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
   results/tables/laplace_p250_n80_80_rho0.7_b20_R20_b0.7071067811865475.csv         1.355031          0.072911            0.926316          0.007127            0.800000         0.133913           0.953421         0.014508           0.842368           0.001244             0.926053          0.001979            0.946316                 0.027687                   0.978684                0.065886                  0.984737  laplace 250.0  80.0  80.0 0.70   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
results/tables/laplace_p500_n120_120_rho0.65_b20_R20_b0.7071067811865475.csv        12.505299          0.067115            0.955526          0.008287            0.872632         0.128379           0.969474         0.015019           0.901842           0.000000             0.934211          0.000532            0.948158                 0.030824                   0.985789                0.068436                  0.989474  laplace 500.0 120.0 120.0 0.65   20.0  20.0                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                              results/tables/nullcal_exp_p250_n80_80_R30.csv         4.434704               NaN                 NaN               NaN                 NaN              NaN                NaN              NaN                NaN                NaN                  NaN               NaN                 NaN                      NaN                        NaN                     NaN                       NaN      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                         results/tables/nullcal_gaussian_p250_n80_80_R30.csv         4.905871               NaN                 NaN               NaN                 NaN              NaN                NaN              NaN                NaN                NaN                  NaN               NaN                 NaN                      NaN                        NaN                     NaN                       NaN      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                          results/tables/nullcal_laplace_p250_n80_80_R30.csv         4.431289               NaN                 NaN               NaN                 NaN              NaN                NaN              NaN                NaN                NaN                  NaN               NaN                 NaN                      NaN                        NaN                     NaN                       NaN      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                             results/tables/nullcal_nmix_p250_n80_80_R30.csv         4.704431               NaN                 NaN               NaN                 NaN              NaN                NaN              NaN                NaN                NaN                  NaN               NaN                 NaN                      NaN                        NaN                     NaN                       NaN      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                             results/tables/nullcal_t_cl_p250_n80_80_R30.csv         4.669342               NaN                 NaN               NaN                 NaN              NaN                NaN              NaN                NaN                NaN                  NaN               NaN                 NaN                      NaN                        NaN                     NaN                       NaN      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                                results/tables/nullcal_t_p250_n80_80_R30.csv         4.995097               NaN                 NaN               NaN                 NaN              NaN                NaN              NaN                NaN                NaN                  NaN               NaN                 NaN                      NaN                        NaN                     NaN                       NaN      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                  results/tables/power_gaussian_p250_n120_rho0.5_b20_R20.csv         1.600821          0.045090            0.708947          0.005438            0.429474         0.097406           0.785263         0.010014           0.512105           0.049410             0.872105          0.102577            0.900263                 0.042282                   0.864737                0.092366                  0.895263      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                  results/tables/power_gaussian_p250_n120_rho0.6_b20_R20.csv         1.600587          0.047956            0.955526          0.004834            0.860789         0.099107           0.972368         0.009454           0.898421           0.051225             0.990000          0.107538            0.994211                 0.041598                   0.989474                0.090859                  0.992895      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                  results/tables/power_gaussian_p250_n120_rho0.7_b20_R20.csv         1.602995          0.047190            0.999474          0.003936            0.995526         0.094742           0.999737         0.008320           0.997895           0.049339             1.000000          0.101501            1.000000                 0.038109                   1.000000                0.085283                  1.000000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                  results/tables/power_gaussian_p250_n120_rho0.8_b20_R20.csv         1.615216          0.047406            1.000000          0.004178            1.000000         0.095042           1.000000         0.009068           1.000000           0.049811             1.000000          0.102316            1.000000                 0.033985                   1.000000                0.078654                  1.000000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                  results/tables/power_gaussian_p250_n200_rho0.5_b20_R20.csv         1.841681          0.057655            0.969474          0.005542            0.887632         0.110827           0.981579         0.010233           0.916316           0.058925             0.988684          0.111778            0.993421                 0.054263                   0.988421                0.104617                  0.993421      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                  results/tables/power_gaussian_p250_n200_rho0.6_b20_R20.csv         1.886647          0.055469            0.999737          0.005998            0.996316         0.110354           0.999737         0.011413           0.997632           0.057777             1.000000          0.110797            1.000000                 0.050133                   0.999737                0.101071                  1.000000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                  results/tables/power_gaussian_p250_n200_rho0.7_b20_R20.csv         1.863782          0.055474            1.000000          0.005198            1.000000         0.110116           1.000000         0.010353           1.000000           0.057078             1.000000          0.109879            1.000000                 0.048418                   1.000000                0.097002                  1.000000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
